n,m,p,it,diff,ns
6,3,0.6,50,0,503901
6,3,0.6,50,0,503202
6,3,0.6,50,0,503132
6,3,0.6,50,0,502573
6,3,0.6,50,0,503063
6,3,0.6,50,0,509627
6,3,0.6,50,0,505507
6,4,0.6,50,0,745339
6,4,0.6,50,0,697918
6,4,0.6,50,0,691912
6,4,0.6,50,0,701130
6,4,0.6,50,0,698266
6,4,0.6,50,0,697080
6,4,0.6,50,0,696591
6,4,0.6,50,0,698546
6,4,0.6,50,0,681156
6,4,0.6,50,0,697988
6,5,0.6,50,0,1409874
6,5,0.6,50,0,1352255
6,5,0.6,50,0,1341429
6,5,0.6,50,0,1361334
6,5,0.6,50,0,1352744
6,5,0.6,50,0,1343105
6,5,0.6,50,0,1367689
6,5,0.6,50,0,1356445
6,5,0.6,50,0,1344852
6,5,0.6,50,0,1382636
6,6,0.6,50,0,1936820
6,6,0.6,50,0,1850219
6,6,0.6,50,0,1912935
6,6,0.6,50,0,1899107
6,6,0.6,50,0,1917964
6,6,0.6,50,0,2026846
6,6,0.6,50,0,1897082
6,6,0.6,50,0,1829965
6,6,0.6,50,0,1917545
6,6,0.6,50,0,1940033
6,7,0.6,50,0,2051499
6,7,0.6,50,0,2075036
6,7,0.6,50,0,1958751
6,7,0.6,50,0,1876130
6,7,0.6,50,0,1958401
6,7,0.6,50,0,2039697
6,7,0.6,50,0,1878504
6,7,0.6,50,0,1946878
6,7,0.6,50,0,2001004
6,7,0.6,50,0,2041582
7,0,0.6,50,0,376721
7,0,0.6,50,0,312676
7,0,0.6,50,0,314073
7,0,0.6,50,0,315470
7,0,0.6,50,0,313934
7,0,0.6,50,0,314143
7,0,0.6,50,0,315260
7,0,0.6,50,0,314842
7,0,0.6,50,0,314004
7,0,0.6,50,0,314422
7,1,0.6,50,0,423723
7,1,0.6,50,0,360448
7,1,0.6,50,0,356536
7,1,0.6,50,0,363869
7,1,0.6,50,0,365057
7,1,0.6,50,0,362822
7,1,0.6,50,0,361844
7,1,0.6,50,0,357096
7,1,0.6,50,0,358492
7,1,0.6,50,0,358212
7,2,0.6,50,0,433501
7,2,0.6,50,0,372111
7,2,0.6,50,0,365686
7,2,0.6,50,0,358562
7,2,0.6,50,0,364568
7,2,0.6,50,0,366594
7,2,0.6,50,0,364429
7,2,0.6,50,0,359051
7,2,0.6,50,0,363241
7,2,0.6,50,0,365826
7,3,0.6,50,0,643023
7,3,0.6,50,0,611804
7,3,0.6,50,0,600071
7,3,0.6,50,0,607683
7,3,0.6,50,0,606357
7,3,0.6,50,0,604611
7,3,0.6,50,0,605518
7,3,0.6,50,0,618369
7,3,0.6,50,0,578979
7,3,0.6,50,0,587779
7,4,0.6,50,0,761891
7,4,0.6,50,0,675010
7,4,0.6,50,0,627518
7,4,0.6,50,0,647981
7,4,0.6,50,0,636876
7,4,0.6,50,0,648960
7,4,0.6,50,0,623817
7,4,0.6,50,0,648750
7,4,0.6,50,0,692470
7,4,0.6,50,0,698337
7,5,0.6,50,0,935585
7,5,0.6,50,0,862043
7,5,0.6,50,0,853104
7,5,0.6,50,0,886976
7,5,0.6,50,0,893332
7,5,0.6,50,0,888303
7,5,0.6,50,0,887815
7,5,0.6,50,0,887465
7,5,0.6,50,0,885161
7,5,0.6,50,0,890678
7,6,0.6,50,0,1086930
7,6,0.6,50,0,1035457
7,6,0.6,50,0,1037902
7,6,0.6,50,0,1051591
7,6,0.6,50,0,1046981
7,6,0.6,50,0,1037553
7,6,0.6,50,0,1045305
7,6,0.6,50,0,1032384
7,6,0.6,50,0,1035109
7,6,0.6,50,0,1041324
7,7,0.6,50,0,1778143
7,7,0.6,50,0,1525809
7,7,0.6,50,0,1482578
7,7,0.6,50,0,1469098
7,7,0.6,50,0,1528183
7,7,0.6,50,0,1534399
7,7,0.6,50,0,1520920
7,7,0.6,50,0,1524342
7,7,0.6,50,0,1538241
7,7,0.6,50,0,1529790
7,8,0.6,50,0,1484603
7,8,0.6,50,0,1352394
7,8,0.6,50,0,1472729
7,8,0.6,50,0,1395136
7,8,0.6,50,0,1304903
7,8,0.6,50,0,1411340
7,8,0.6,50,0,1477898
7,8,0.6,50,0,1409175
7,8,0.6,50,0,1414064
7,8,0.6,50,0,1361614
7,9,0.6,50,0,2250684
7,9,0.6,50,0,2181123
7,9,0.6,50,0,2223238
7,9,0.6,50,0,2180844
7,9,0.6,50,0,2174628
7,9,0.6,50,0,2179518
7,9,0.6,50,0,2216043
7,9,0.6,50,0,2174698
7,9,0.6,50,0,2212342
7,9,0.6,50,0,2192857
7,10,0.6,50,0,3680532
7,10,0.6,50,0,3632691
7,10,0.6,50,0,3565715
7,10,0.6,50,0,3615860
7,10,0.6,50,0,3522553
7,10,0.6,50,0,3562502
7,10,0.6,50,0,3614393
7,10,0.6,50,0,3548254
7,10,0.6,50,0,3563480
7,10,0.6,50,0,3589530
8,0,0.6,50,0,364149
8,0,0.6,50,0,318194
8,0,0.6,50,0,315680
8,0,0.6,50,0,322664
8,0,0.6,50,0,317915
8,0,0.6,50,0,314982
8,0,0.6,50,0,315889
8,0,0.6,50,0,316727
8,0,0.6,50,0,316517
8,0,0.6,50,0,315540
8,1,0.6,50,0,392644
8,1,0.6,50,0,351997
8,1,0.6,50,0,347317
8,1,0.6,50,0,355070
8,1,0.6,50,0,354721
8,1,0.6,50,0,353533
8,1,0.6,50,0,349971
8,1,0.6,50,0,357096
8,1,0.6,50,0,356187
8,1,0.6,50,0,350111
8,2,0.6,50,0,461857
8,2,0.6,50,0,414504
8,2,0.6,50,0,416809
8,2,0.6,50,0,402352
8,2,0.6,50,0,419742
8,2,0.6,50,0,455780
8,2,0.6,50,0,417717
8,2,0.6,50,0,389152
8,2,0.6,50,0,449914
8,2,0.6,50,0,419672
8,3,0.6,50,0,746318
8,3,0.6,50,0,650077
8,3,0.6,50,0,682902
8,3,0.6,50,0,689047
8,3,0.6,50,0,649239
8,3,0.6,50,0,696940
8,3,0.6,50,0,631639
8,3,0.6,50,0,653080
8,3,0.6,50,0,582191
8,3,0.6,50,0,552928
8,4,0.6,50,0,708394
8,4,0.6,50,0,598045
8,4,0.6,50,0,626960
8,4,0.6,50,0,638693
8,4,0.6,50,0,654337
8,4,0.6,50,0,725784
8,4,0.6,50,0,573043
8,4,0.6,50,0,689956
8,4,0.6,50,0,639182
8,4,0.6,50,0,665162
8,5,0.6,50,0,791155
8,5,0.6,50,0,720127
8,5,0.6,50,0,702876
8,5,0.6,50,0,739263
8,5,0.6,50,0,701689
8,5,0.6,50,0,717123
8,5,0.6,50,0,724317
8,5,0.6,50,0,693658
8,5,0.6,50,0,737308
8,5,0.6,50,0,714470
8,6,0.6,50,0,1853152
8,6,0.6,50,0,2122737
8,6,0.6,50,0,2141384
8,6,0.6,50,0,1987944
8,6,0.6,50,0,1993671
8,6,0.6,50,0,1907627
8,6,0.6,50,0,2095709
8,6,0.6,50,0,1998072
8,6,0.6,50,0,2130908
8,6,0.6,50,0,1986897
8,7,0.6,50,0,953744
8,7,0.6,50,0,937122
8,7,0.6,50,0,939986
8,7,0.6,50,0,949344
8,7,0.6,50,0,904087
8,7,0.6,50,0,950391
8,7,0.6,50,0,924131
8,7,0.6,50,0,928112
8,7,0.6,50,0,905274
8,7,0.6,50,0,940824
8,8,0.6,50,0,2149625
8,8,0.6,50,0,2052617
8,8,0.6,50,0,2162476
8,8,0.6,50,0,2161988
8,8,0.6,50,0,2046262
8,8,0.6,50,0,2112819
8,8,0.6,50,0,2101226
8,8,0.6,50,0,2166108
8,8,0.6,50,0,2109257
8,8,0.6,50,0,2170788
8,9,0.6,50,0,1834505
8,9,0.6,50,0,1745668
8,9,0.6,50,0,1530977
8,9,0.6,50,0,1499340
8,9,0.6,50,0,1709489
8,9,0.6,50,0,1514843
