n,m,p,it,diff,ns
280,297,0.6,50,63,10580440
280,297,0.6,50,63,10450188
280,297,0.6,50,63,10313929
280,297,0.6,50,63,10732763
280,297,0.6,50,63,10154134
299,316,0.6,50,71,11902385
299,316,0.6,50,71,11682457
299,316,0.6,50,71,11204747
299,316,0.6,50,71,11548222
299,316,0.6,50,71,11041250
299,316,0.6,50,71,11544102
299,316,0.6,50,71,11683155
299,316,0.6,50,71,11536071
299,316,0.6,50,71,11680640
299,316,0.6,50,71,11364402
320,345,0.6,50,80,12464113
320,345,0.6,50,80,12406774
320,345,0.6,50,80,12242299
320,345,0.6,50,80,12407123
320,345,0.6,50,80,12251868
320,345,0.6,50,80,12404330
320,345,0.6,50,80,12237829
320,345,0.6,50,80,12419136
320,345,0.6,50,80,12232382
320,345,0.6,50,80,12411873
340,365,0.6,50,89,13767759
340,365,0.6,50,89,13497196
340,365,0.6,50,89,13486721
340,365,0.6,50,89,13300944
340,365,0.6,50,89,13677316
340,365,0.6,50,89,13496289
340,365,0.6,50,89,13301503
340,365,0.6,50,89,13115098
340,365,0.6,50,89,13670121
340,365,0.6,50,89,13670052
362,396,0.6,50,99,13854641
362,396,0.6,50,99,13589246
362,396,0.6,50,99,14204193
362,396,0.6,50,99,14588247
362,396,0.6,50,99,13580097
362,396,0.6,50,99,13990271
362,396,0.6,50,99,14604031
362,396,0.6,50,99,13178863
362,396,0.6,50,99,13794019
362,396,0.6,50,99,13793530
383,417,0.6,50,109,15533261
383,417,0.6,50,109,15439675
383,417,0.6,50,109,15454132
383,417,0.6,50,109,15453503
383,417,0.6,50,109,15456227
383,417,0.6,50,109,15460347
383,417,0.6,50,109,15226660
383,417,0.6,50,109,15462513
383,417,0.6,50,109,15456926
383,417,0.6,50,109,15451826
406,450,0.6,50,120,16555588
406,450,0.6,50,120,16736685
406,450,0.6,50,120,16016768
406,450,0.6,50,120,16495177
406,450,0.6,50,120,16950817
406,450,0.6,50,120,16728934
406,450,0.6,50,120,16723416
406,450,0.6,50,120,16012158
406,450,0.6,50,120,16482465
406,450,0.6,50,120,16023962
428,472,0.6,50,131,17397937
428,472,0.6,50,131,18054788
428,472,0.6,50,131,18053810
428,472,0.6,50,131,17299531
428,472,0.6,50,131,17569116
428,472,0.6,50,131,17553681
428,472,0.6,50,131,17543555
428,472,0.6,50,131,16796330
428,472,0.6,50,131,18059328
428,472,0.6,50,131,16794025
452,507,0.6,50,0,19788024
452,507,0.6,50,143,19215401
452,507,0.6,50,143,19240823
452,507,0.6,50,143,19223781
452,507,0.6,50,143,18953219
452,507,0.6,50,143,18732801
452,507,0.6,50,143,19207438
452,507,0.6,50,0,20271600
452,507,0.6,50,143,18690617
452,507,0.6,50,0,18911733
475,530,0.6,50,155,19913947
475,530,0.6,50,155,19817706
475,530,0.6,50,0,20310990
475,530,0.6,50,0,21662687
475,530,0.6,50,0,20928383
475,530,0.6,50,155,19820570
475,530,0.6,50,155,20115158
475,530,0.6,50,0,20620874
475,530,0.6,50,0,20645807
475,530,0.6,50,155,20411910
500,567,0.6,50,0,24169687
500,567,0.6,50,0,24706761
500,567,0.6,50,0,26245910
500,567,0.6,50,0,24068907
500,567,0.6,50,0,22518374
500,567,0.6,50,0,24406866
500,567,0.6,50,0,22537930
500,567,0.6,50,0,24687766
500,567,0.6,50,0,21901751
500,567,0.6,50,0,22219945
524,591,0.6,50,0,23866718
524,591,0.6,50,0,23862877
524,591,0.6,50,0,15963549
524,591,0.6,50,0,24821999
524,591,0.6,50,0,23496424
524,591,0.6,50,0,12652543
524,591,0.6,50,0,13644630
524,591,0.6,50,0,16292918
524,591,0.6,50,0,16284257
524,591,0.6,50,0,19572356
550,630,0.6,50,0,28326743
550,630,0.6,50,0,26835156
550,630,0.6,50,0,28661280
550,630,0.6,50,0,26214762
550,630,0.6,50,0,27318593
550,630,0.6,50,0,25102060
550,630,0.6,50,0,27660673
550,630,0.6,50,0,26910933
550,630,0.6,50,0,27513239
550,630,0.6,50,0,28271639
