n,m,p,it,diff,ns
7,5,0.6,50,0,1024493
7,5,0.6,50,0,1043490
7,5,0.6,50,0,1021210
7,5,0.6,50,0,1022747
7,5,0.6,50,0,1047262
7,5,0.6,50,0,1036227
7,5,0.6,50,0,1019674
7,5,0.6,50,0,1001586
7,5,0.6,50,0,1042932
7,5,0.6,50,0,1025191
7,5,0.6,50,0,1023585
7,5,0.6,50,0,1030849
7,5,0.6,50,0,1023236
7,5,0.6,50,0,1021979
7,5,0.6,50,0,1019534
7,5,0.6,50,0,1043839
7,5,0.6,50,0,1019046
7,5,0.6,50,0,1039928
7,5,0.6,50,0,1021420
7,5,0.6,50,0,1028265
7,5,0.6,50,0,1038043
7,5,0.6,50,0,1023236
7,5,0.6,50,0,1039928
7,5,0.6,50,0,1026379
7,5,0.6,50,0,1023795
7,5,0.6,50,0,1023027
7,5,0.6,50,0,1024982
7,5,0.6,50,0,1030360
7,5,0.6,50,0,1020792
7,5,0.6,50,0,1042023
7,5,0.6,50,0,1020932
7,5,0.6,50,0,1022887
7,5,0.6,50,0,1019046
7,5,0.6,50,0,1022677
7,5,0.6,50,0,1041883
7,5,0.6,50,0,1045585
7,5,0.6,50,0,1021141
7,5,0.6,50,0,1021491
7,5,0.6,50,0,1018557
7,5,0.6,50,0,1016741
7,5,0.6,50,0,1023445
7,5,0.6,50,0,1037763
7,5,0.6,50,0,1031547
7,5,0.6,50,0,1023795
7,5,0.6,50,0,1019675
7,5,0.6,50,0,1018487
7,5,0.6,50,0,1027148
7,5,0.6,50,0,1022957
7,5,0.6,50,0,1023306
7,5,0.6,50,0,1039300
7,5,0.6,50,0,1027636
7,5,0.6,50,0,1021002
7,5,0.6,50,0,1037344
7,5,0.6,50,0,1018976
7,5,0.6,50,0,1026169
7,5,0.6,50,0,1041325
7,5,0.6,50,0,1023586
7,5,0.6,50,0,1022887
7,5,0.6,50,0,1045586
7,5,0.6,50,0,1025331
7,5,0.6,50,0,1022887
7,5,0.6,50,0,1025331
7,5,0.6,50,0,1047191
7,5,0.6,50,0,1022748
7,5,0.6,50,0,1020862
7,5,0.6,50,0,1024284
7,5,0.6,50,0,1063674
7,5,0.6,50,0,1024633
7,5,0.6,50,0,1021071
7,5,0.6,50,0,1039299
7,5,0.6,50,0,1026169
7,5,0.6,50,0,1023865
7,5,0.6,50,0,1022049
7,5,0.6,50,0,1022468
7,5,0.6,50,0,1030220
7,5,0.6,50,0,1023236
7,5,0.6,50,0,1040417
7,5,0.6,50,0,1043770
7,5,0.6,50,0,1024423
7,5,0.6,50,0,1021909
7,5,0.6,50,0,1037554
7,5,0.6,50,0,1025192
7,5,0.6,50,0,1042232
7,5,0.6,50,0,1024353
7,5,0.6,50,0,1024842
7,5,0.6,50,0,1028195
7,5,0.6,50,0,1022748
7,5,0.6,50,0,1019325
7,5,0.6,50,0,1021350
11,9,0.6,50,0,1438648
11,9,0.6,50,0,1411900
11,9,0.6,50,0,1425589
11,9,0.6,50,0,1437391
11,9,0.6,50,0,1409385
11,9,0.6,50,0,1441373
11,9,0.6,50,0,1389830
11,9,0.6,50,0,1434249
11,9,0.6,50,0,1438928
11,9,0.6,50,0,1428382
11,9,0.6,50,0,1402960
11,9,0.6,50,0,1438369
11,9,0.6,50,0,1398840
11,9,0.6,50,0,1411550
11,9,0.6,50,0,1435437
11,9,0.6,50,0,1429570
11,9,0.6,50,0,1426776
11,9,0.6,50,0,1414065
11,9,0.6,50,0,1430268
11,9,0.6,50,0,1411551
11,9,0.6,50,0,1398071
11,9,0.6,50,0,1429221
11,9,0.6,50,0,1414204
11,9,0.6,50,0,1430757
11,9,0.6,50,0,1430617
11,9,0.6,50,0,1441442
11,9,0.6,50,0,1428732
11,9,0.6,50,0,1431734
11,9,0.6,50,0,1438858
11,9,0.6,50,0,1407430
11,9,0.6,50,0,1431246
11,9,0.6,50,0,1437601
11,9,0.6,50,0,1430059
11,9,0.6,50,0,1427055
11,9,0.6,50,0,1418883
11,9,0.6,50,0,1427683
11,9,0.6,50,0,1433340
11,9,0.6,50,0,1438229
11,9,0.6,50,0,1427963
11,9,0.6,50,0,1439626
11,9,0.6,50,0,1434179
11,9,0.6,50,0,1412459
11,9,0.6,50,0,1428103
11,9,0.6,50,0,1404427
11,9,0.6,50,0,1432573
11,9,0.6,50,0,1440814
11,9,0.6,50,0,1426427
11,9,0.6,50,0,1438230
11,9,0.6,50,0,1405544
11,9,0.6,50,0,1425798
11,9,0.6,50,0,1415880
11,9,0.6,50,0,1435646
11,9,0.6,50,0,1425030
11,9,0.6,50,0,1411969
11,9,0.6,50,0,1429220
11,9,0.6,50,0,1425659
11,9,0.6,50,0,1417836
11,9,0.6,50,0,1425868
11,9,0.6,50,0,1436693
11,9,0.6,50,0,1432852
11,9,0.6,50,0,1411131
11,9,0.6,50,0,1431036
11,9,0.6,50,0,1433201
11,9,0.6,50,0,1441722
11,9,0.6,50,0,1432293
11,9,0.6,50,0,1403868
11,9,0.6,50,0,1431944
11,9,0.6,50,0,1431315
11,9,0.6,50,0,1410154
11,9,0.6,50,0,1429220
11,9,0.6,50,0,1461766
11,9,0.6,50,0,1408338
11,9,0.6,50,0,1409804
11,9,0.6,50,0,1438160
11,9,0.6,50,0,1432433
11,9,0.6,50,0,1394789
11,9,0.6,50,0,1441862
11,9,0.6,50,0,1431595
11,9,0.6,50,0,1439417
11,9,0.6,50,0,1394999
11,9,0.6,50,0,1404567
11,9,0.6,50,0,1411970
11,9,0.6,50,0,1427264
