n,m,diff,ns
11,9,0,3073
11,9,0,3142
11,9,0,3143
11,9,0,3143
11,9,0,3073
11,9,0,3073
11,9,0,3143
11,9,0,3073
11,9,0,3073
11,9,0,3143
11,9,0,3143
11,9,0,3841
11,9,0,3143
11,9,0,3073
11,9,0,3073
11,9,0,3143
11,9,0,3143
11,9,0,3142
11,9,0,3143
11,9,0,3073
11,9,0,2654
11,9,0,3143
11,9,0,3073
11,9,0,2724
11,9,0,3073
11,9,0,3073
11,9,0,3143
11,9,0,3142
11,9,0,3143
11,9,0,3143
11,9,0,3073
11,9,0,3073
11,9,0,3073
11,9,0,3143
11,9,0,3073
11,9,0,3073
11,9,0,3143
11,9,0,3073
11,9,0,3073
11,9,0,3073
11,9,0,2654
11,9,0,3073
11,9,0,3143
11,9,0,2724
11,9,0,3143
11,9,0,3142
14,12,1,4610
14,12,1,4191
14,12,1,3492
14,12,1,4191
14,12,1,3492
14,12,1,3492
14,12,1,3562
14,12,1,3423
14,12,1,3422
14,12,1,3562
14,12,1,3492
14,12,1,3422
14,12,1,3422
14,12,1,3422
14,12,1,3353
14,12,1,3492
14,12,1,3423
14,12,1,3003
14,12,1,4121
14,12,1,3423
14,12,1,3423
14,12,1,3422
14,12,1,3981
14,12,1,3212
14,12,1,3352
14,12,1,4470
14,12,1,4539
14,12,1,11524
14,12,1,4330
14,12,1,3423
14,12,1,3492
14,12,1,3213
14,12,1,4610
14,12,1,3422
14,12,1,3631
14,12,1,3841
14,12,1,4260
14,12,1,3492
14,12,1,3353
14,12,1,3352
14,12,1,2933
14,12,1,3492
14,12,1,3422
14,12,1,3422
14,12,1,3492
14,12,1,4400
14,12,1,3981
14,12,1,3423
14,12,1,3352
14,12,1,3422
14,12,1,3422
14,12,1,3422
14,12,1,3422
14,12,1,3562
14,12,1,3422
14,12,1,3422
14,12,1,3422
14,12,1,3422
14,12,1,3352
14,12,1,3422
14,12,1,3492
14,12,1,3422
14,12,1,3352
14,12,1,3422
14,12,1,3353
14,12,1,3352
14,12,1,3492
14,12,1,3422
14,12,1,2934
14,12,1,3352
14,12,1,3492
14,12,1,3422
14,12,1,3422
14,12,1,3422
14,12,1,3423
14,12,1,3422
14,12,1,3423
14,12,1,3143
14,12,1,3422
14,12,1,3352
14,12,1,3423
14,12,1,3422
14,12,1,3423
14,12,1,3352
14,12,1,3423
14,12,1,3422
14,12,1,3422
14,12,1,3422
14,12,1,3352
14,12,1,3492
14,12,1,3352
14,12,1,3422
14,12,1,3352
14,12,1,2933
14,12,1,3423
14,12,1,3422
14,12,1,3422
14,12,1,3422
14,12,1,3422
14,12,1,3422
19,18,3,4819
19,18,3,3911
19,18,3,3841
19,18,3,4540
19,18,3,3492
19,18,3,3771
19,18,3,4819
19,18,3,3771
19,18,3,4958
19,18,3,3562
19,18,3,4190
19,18,3,3632
19,18,3,3702
19,18,3,3771
19,18,3,3701
19,18,3,4400
19,18,3,3282
19,18,3,3771
19,18,3,3911
19,18,3,3771
19,18,3,3772
19,18,3,3771
19,18,3,3283
19,18,3,3841
19,18,3,3283
19,18,3,4121
19,18,3,3771
19,18,3,3842
19,18,3,5029
19,18,3,3771
19,18,3,3841
19,18,3,4679
19,18,3,3841
19,18,3,3771
19,18,3,3911
19,18,3,4330
19,18,3,3771
19,18,3,3771
19,18,3,3842
19,18,3,3701
19,18,3,3771
19,18,3,3771
19,18,3,3492
19,18,3,3771
19,18,3,3492
19,18,3,3842
19,18,3,3771
19,18,3,3842
19,18,3,3283
19,18,3,3771
19,18,3,3701
19,18,3,3771
19,18,3,3702
19,18,3,3842
19,18,3,3771
19,18,3,3772
19,18,3,3772
19,18,3,3841
19,18,3,3701
19,18,3,3841
19,18,3,3702
19,18,3,3841
19,18,3,3842
19,18,3,3771
19,18,3,3771
19,18,3,3772
19,18,3,3842
19,18,3,3771
19,18,3,3352
19,18,3,3771
19,18,3,3702
19,18,3,3772
19,18,3,3771
19,18,3,3771
19,18,3,3772
19,18,3,3771
19,18,3,3701
19,18,3,3701
19,18,3,3771
19,18,3,3702
19,18,3,3701
19,18,3,3771
19,18,3,3702
19,18,3,3772
19,18,3,3771
19,18,3,3771
19,18,3,3702
19,18,3,3842
19,18,3,3772
19,18,3,3771
19,18,3,3841
19,18,3,3841
19,18,3,3771
19,18,3,3772
19,18,3,3702
19,18,3,3771
19,18,3,3771
19,18,3,3492
19,18,3,3701
19,18,3,3771
23,22,5,5168
23,22,5,4191
23,22,5,5378
23,22,5,4051
23,22,5,4470
23,22,5,3632
23,22,5,5098
23,22,5,4121
23,22,5,4120
23,22,5,4051
23,22,5,4051
23,22,5,4749
23,22,5,3562
23,22,5,4051
23,22,5,3702
23,22,5,3632
23,22,5,3772
23,22,5,3701
23,22,5,4331
23,22,5,3701
23,22,5,4120
23,22,5,3562
23,22,5,5098
23,22,5,4051
23,22,5,4050
23,22,5,4121
23,22,5,3562
23,22,5,3772
23,22,5,3841
23,22,5,4121
23,22,5,4120
23,22,5,4120
23,22,5,4120
23,22,5,4050
23,22,5,3632
23,22,5,4051
23,22,5,4121
23,22,5,4051
23,22,5,4051
23,22,5,4120
23,22,5,4051
23,22,5,4051
23,22,5,4120
23,22,5,4051
23,22,5,4050
23,22,5,4051
23,22,5,4051
23,22,5,4121
23,22,5,4051
23,22,5,4051
23,22,5,4121
23,22,5,4051
23,22,5,4121
23,22,5,4121
23,22,5,4121
23,22,5,3562
23,22,5,4121
23,22,5,4051
23,22,5,4051
23,22,5,4051
23,22,5,4121
23,22,5,4121
23,22,5,4121
23,22,5,4051
23,22,5,4121
23,22,5,4051
23,22,5,4051
23,22,5,4051
23,22,5,4121
23,22,5,4051
23,22,5,4051
23,22,5,4051
23,22,5,4050
23,22,5,4050
23,22,5,4050
23,22,5,4120
23,22,5,4050
23,22,5,4050
23,22,5,4051
23,22,5,4120
23,22,5,4051
23,22,5,4120
23,22,5,4051
23,22,5,5029
23,22,5,4121
23,22,5,4051
23,22,5,4121
23,22,5,4121
23,22,5,4051
23,22,5,4051
23,22,5,4051
23,22,5,4051
23,22,5,4191
23,22,5,3911
23,22,5,4051
23,22,5,4051
23,22,5,4121
23,22,5,4051
