n,m,p,it,diff,ns
32,21,0.6,50,0,871053
32,21,0.6,50,0,840324
32,21,0.6,50,0,861974
32,21,0.6,50,0,861974
32,21,0.6,50,0,849542
32,21,0.6,50,0,848146
32,21,0.6,50,0,853104
32,21,0.6,50,0,851219
32,21,0.6,50,0,839346
32,21,0.6,50,0,862323
32,21,0.6,50,0,883205
32,21,0.6,50,0,852476
32,21,0.6,50,0,837949
32,21,0.6,50,0,863860
32,21,0.6,50,0,883555
43,32,0.6,50,0,1320130
43,32,0.6,50,0,1213273
43,32,0.6,50,0,1259018
43,32,0.6,50,0,1249590
43,32,0.6,50,0,1216486
43,32,0.6,50,0,1234854
43,32,0.6,50,0,1253920
43,32,0.6,50,0,1213133
43,32,0.6,50,0,1229895
43,32,0.6,50,0,1255806
43,32,0.6,50,0,1236879
43,32,0.6,50,0,1218790
43,32,0.6,50,0,1253640
43,32,0.6,50,0,1228010
43,32,0.6,50,0,1211177
43,32,0.6,50,0,1256505
43,32,0.6,50,0,1232548
43,32,0.6,50,0,1216485
43,32,0.6,50,0,1248473
43,32,0.6,50,0,1257482
43,32,0.6,50,0,1214180
43,32,0.6,50,0,1231361
43,32,0.6,50,0,1202867
43,32,0.6,50,0,1212016
43,32,0.6,50,0,1233387
43,32,0.6,50,0,1222771
43,32,0.6,50,0,1230872
43,32,0.6,50,0,1219699
43,32,0.6,50,0,1237228
43,32,0.6,50,0,1243444
43,32,0.6,50,0,1214251
43,32,0.6,50,0,1230454
43,32,0.6,50,0,1220327
43,32,0.6,50,0,1216904
43,32,0.6,50,0,1249101
43,32,0.6,50,0,1237089
43,32,0.6,50,0,1234923
43,32,0.6,50,0,1229616
43,32,0.6,50,0,1257133
43,32,0.6,50,0,1210619
43,32,0.6,50,0,1237647
43,32,0.6,50,0,1217324
43,32,0.6,50,0,1216066
43,32,0.6,50,0,1244981
43,32,0.6,50,0,1237647
43,32,0.6,50,0,1223749
43,32,0.6,50,0,1230873
43,32,0.6,50,0,1220327
43,32,0.6,50,0,1224727
43,32,0.6,50,0,1250428
43,32,0.6,50,0,1216276
43,32,0.6,50,0,1238765
43,32,0.6,50,0,1250358
43,32,0.6,50,0,1213553
43,32,0.6,50,0,1239882
43,32,0.6,50,0,1252314
43,32,0.6,50,0,1231362
43,32,0.6,50,0,1217254
43,32,0.6,50,0,1256015
43,32,0.6,50,0,1232269
43,32,0.6,50,0,1199374
43,32,0.6,50,0,1248193
43,32,0.6,50,0,1220117
43,32,0.6,50,0,1214111
43,32,0.6,50,0,1240510
43,32,0.6,50,0,1200632
43,32,0.6,50,0,1247355
43,32,0.6,50,0,1239323
43,32,0.6,50,0,1218510
43,32,0.6,50,0,1244980
43,32,0.6,50,0,1210270
43,32,0.6,50,0,1224727
43,32,0.6,50,0,1250428
43,32,0.6,50,0,1215857
43,32,0.6,50,0,1241209
43,32,0.6,50,0,1249870
43,32,0.6,50,0,1214460
43,32,0.6,50,0,1222212
43,32,0.6,50,0,1229406
43,32,0.6,50,0,1237019
43,32,0.6,50,0,1232828
43,32,0.6,50,0,1252244
43,32,0.6,50,0,1219349
43,32,0.6,50,0,1228498
43,32,0.6,50,0,1223329
43,32,0.6,50,0,1219908
43,32,0.6,50,0,1231292
43,32,0.6,50,0,1192461
43,32,0.6,50,0,1237996
43,32,0.6,50,0,1212505
43,32,0.6,50,0,1238136
