n,m,diff,ns
11,9,0,10267
11,9,0,10197
11,9,0,10197
11,9,0,10197
11,9,0,10197
11,9,0,10267
11,9,0,11104
11,9,0,10196
11,9,0,10127
11,9,0,10266
11,9,0,10266
11,9,0,10406
11,9,0,9848
11,9,0,10337
11,9,0,10336
11,9,0,10266
11,9,0,10196
11,9,0,10266
11,9,0,10336
11,9,0,10127
11,9,0,10266
11,9,0,10197
11,9,0,10127
11,9,0,10197
11,9,0,10266
11,9,0,9708
11,9,0,10266
11,9,0,10196
11,9,0,10196
11,9,0,10197
11,9,0,10196
11,9,0,10196
11,9,0,10336
11,9,0,10267
11,9,0,10337
11,9,0,10267
11,9,0,10127
11,9,0,10267
11,9,0,10197
11,9,0,10267
11,9,0,10127
11,9,0,10197
11,9,0,10336
11,9,0,10336
11,9,0,10196
11,9,0,10266
14,12,1,12990
14,12,1,12641
14,12,1,12292
14,12,1,11174
14,12,1,11524
14,12,1,12152
14,12,1,11034
14,12,1,11523
14,12,1,12711
14,12,1,11314
14,12,1,11524
14,12,1,11593
14,12,1,11244
14,12,1,11105
14,12,1,11523
14,12,1,11523
14,12,1,11524
14,12,1,11523
14,12,1,11384
14,12,1,11524
14,12,1,11594
14,12,1,11663
14,12,1,11453
14,12,1,11384
14,12,1,11594
14,12,1,11454
14,12,1,11174
14,12,1,11733
14,12,1,11594
14,12,1,11454
14,12,1,11454
14,12,1,11523
14,12,1,11523
14,12,1,11384
14,12,1,11524
14,12,1,11035
14,12,1,11593
14,12,1,11454
14,12,1,11454
14,12,1,11733
14,12,1,11524
14,12,1,11524
14,12,1,11453
14,12,1,11523
14,12,1,11524
14,12,1,11034
14,12,1,11523
14,12,1,11384
14,12,1,11524
14,12,1,11594
14,12,1,11524
14,12,1,11454
14,12,1,11454
14,12,1,11594
14,12,1,11524
14,12,1,11593
14,12,1,11453
14,12,1,11593
14,12,1,11523
14,12,1,11384
14,12,1,11524
14,12,1,11524
14,12,1,11524
14,12,1,11594
14,12,1,11244
14,12,1,11454
14,12,1,11524
14,12,1,11454
14,12,1,11384
14,12,1,11385
14,12,1,11524
14,12,1,11524
14,12,1,11454
14,12,1,11524
14,12,1,11454
14,12,1,11454
14,12,1,11454
14,12,1,11453
14,12,1,11454
14,12,1,11524
14,12,1,11524
14,12,1,11524
14,12,1,11524
14,12,1,11175
14,12,1,11524
14,12,1,11594
14,12,1,11454
14,12,1,11524
14,12,1,11454
14,12,1,11594
14,12,1,11524
14,12,1,11524
14,12,1,11454
14,12,1,11454
14,12,1,11454
14,12,1,11384
14,12,1,11524
14,12,1,11524
14,12,1,11454
14,12,1,11523
19,18,3,14038
19,18,3,12851
19,18,3,12850
19,18,3,13759
19,18,3,12781
19,18,3,12431
19,18,3,12641
19,18,3,14108
19,18,3,12362
19,18,3,12292
19,18,3,12851
19,18,3,13549
19,18,3,12711
19,18,3,12851
19,18,3,12292
19,18,3,12921
19,18,3,20882
19,18,3,12361
19,18,3,12501
19,18,3,12501
19,18,3,12361
19,18,3,12501
19,18,3,12432
19,18,3,12572
19,18,3,12502
19,18,3,12431
19,18,3,12431
19,18,3,12502
19,18,3,12432
19,18,3,12432
19,18,3,12572
19,18,3,12501
19,18,3,12502
19,18,3,12432
19,18,3,12082
19,18,3,12502
19,18,3,12362
19,18,3,12571
19,18,3,12432
19,18,3,12641
19,18,3,12502
19,18,3,12502
19,18,3,12361
19,18,3,12501
19,18,3,12153
19,18,3,20812
19,18,3,22908
19,18,3,12711
19,18,3,20603
19,18,3,12501
19,18,3,12571
19,18,3,12571
19,18,3,21022
19,18,3,12850
19,18,3,12780
19,18,3,12781
19,18,3,12781
19,18,3,12921
19,18,3,12362
19,18,3,12222
19,18,3,12850
19,18,3,12781
19,18,3,12781
19,18,3,12851
19,18,3,12781
19,18,3,12781
19,18,3,12781
19,18,3,12780
19,18,3,12711
19,18,3,12711
19,18,3,12641
19,18,3,12711
19,18,3,12781
19,18,3,12711
19,18,3,12851
19,18,3,12711
19,18,3,12781
19,18,3,12711
19,18,3,12781
19,18,3,12920
19,18,3,12921
19,18,3,12711
19,18,3,12642
19,18,3,12851
19,18,3,12641
19,18,3,12431
19,18,3,12780
19,18,3,12850
19,18,3,12781
19,18,3,12781
19,18,3,12851
19,18,3,12781
19,18,3,13270
19,18,3,12851
19,18,3,12921
19,18,3,12781
19,18,3,12851
19,18,3,12781
19,18,3,12501
19,18,3,12921
23,22,5,15435
23,22,5,14876
23,22,5,14318
23,22,5,14108
23,22,5,13829
23,22,5,13759
23,22,5,14038
23,22,5,13549
23,22,5,14038
23,22,5,14038
23,22,5,13618
23,22,5,14108
23,22,5,14038
23,22,5,14108
23,22,5,13968
23,22,5,14107
23,22,5,13898
23,22,5,13689
23,22,5,14038
23,22,5,14178
23,22,5,14108
23,22,5,13968
23,22,5,14178
23,22,5,14108
23,22,5,14108
23,22,5,14178
23,22,5,13968
23,22,5,14108
23,22,5,14178
23,22,5,13969
23,22,5,14108
23,22,5,14108
23,22,5,14737
23,22,5,13968
23,22,5,14038
23,22,5,13969
23,22,5,13968
23,22,5,14038
23,22,5,13898
23,22,5,14038
23,22,5,14038
23,22,5,13969
23,22,5,14038
23,22,5,14178
23,22,5,13968
23,22,5,14178
23,22,5,13968
23,22,5,13968
23,22,5,13968
23,22,5,13968
23,22,5,14038
23,22,5,14038
23,22,5,13968
23,22,5,13898
23,22,5,14108
23,22,5,14038
23,22,5,14806
23,22,5,13968
23,22,5,13969
23,22,5,14038
23,22,5,14108
23,22,5,14108
23,22,5,13969
23,22,5,13968
23,22,5,13968
23,22,5,13968
23,22,5,14038
23,22,5,13968
23,22,5,14108
23,22,5,13899
23,22,5,13968
23,22,5,14038
23,22,5,13899
23,22,5,14038
23,22,5,13968
23,22,5,13968
23,22,5,14038
23,22,5,14038
23,22,5,13968
23,22,5,14038
23,22,5,13899
23,22,5,14108
23,22,5,13968
23,22,5,13899
23,22,5,13898
23,22,5,13968
23,22,5,13898
23,22,5,13969
23,22,5,13968
23,22,5,14038
23,22,5,14108
23,22,5,13968
23,22,5,13968
23,22,5,14038
23,22,5,13968
23,22,5,14038
23,22,5,14108
23,22,5,14038
23,22,5,14108
23,22,5,14108
29,30,8,16762
29,30,8,16971
29,30,8,15295
29,30,8,15295
29,30,8,15854
29,30,8,15435
29,30,8,16412
29,30,8,15435
29,30,8,15225
29,30,8,15295
29,30,8,15365
29,30,8,15434
29,30,8,15295
29,30,8,15295
29,30,8,15295
29,30,8,15295
