n,m,ns
3,2,16273
3,2,16412
3,2,16622
3,2,16552
3,2,16692
3,2,16762
3,2,16692
3,2,16273
3,2,16412
3,2,16203
3,2,16273
3,2,15505
3,2,16134
3,2,16133
3,2,16063
3,2,16134
3,2,16063
3,2,15854
3,2,16133
3,2,16134
3,2,16063
3,2,15644
3,2,16063
3,2,16064
3,2,16483
3,2,16273
3,2,16203
3,2,16273
3,2,16343
3,2,16483
3,2,16832
3,2,16064
3,2,16273
3,2,16203
3,2,16133
3,2,16413
3,2,16553
3,2,16832
3,2,15994
3,2,16692
3,2,16272
3,2,16203
3,2,15505
3,2,16273
3,3,20742
3,3,18438
3,3,17949
3,3,18438
3,3,18647
3,3,19625
3,3,18089
3,3,18996
3,3,18787
3,3,18717
3,3,18368
3,3,17810
3,3,18019
3,3,18368
3,3,18507
3,3,18228
3,3,18508
3,3,18507
3,3,17879
3,3,18437
3,3,18229
3,3,18019
3,3,18228
3,3,17670
3,3,18577
3,3,18438
3,3,18368
3,3,18228
3,3,18926
3,3,18717
3,3,18787
3,3,18299
3,3,18578
3,3,18438
3,3,17599
3,3,18508
3,3,18647
3,3,18927
3,3,19067
3,3,18648
3,3,18438
3,3,18647
3,3,18298
3,3,18927
3,3,18368
3,3,19066
3,3,18857
3,3,18508
3,3,18578
3,3,18298
3,3,18508
3,3,18997
3,3,18298
3,3,18577
3,3,18508
3,3,18158
3,3,18647
3,3,18438
3,3,17809
3,3,18577
3,3,18577
3,3,18927
3,3,18508
3,3,18368
3,3,18577
3,3,18647
3,3,18228
3,3,18368
3,3,18787
3,3,19066
3,3,18996
3,3,18996
3,3,18856
3,3,18508
3,3,18508
3,3,18438
3,3,18577
3,3,18507
3,3,18368
3,3,18578
3,3,18648
3,3,18368
3,3,17949
3,3,18438
3,3,18299
3,3,18228
3,3,18438
3,3,18438
3,3,18019
3,3,18508
3,3,18438
3,3,18368
3,3,18438
3,3,18647
3,3,19066
3,3,19067
3,3,18857
3,3,18787
3,3,18578
3,3,18438
4,0,17739
4,0,15505
4,0,14248
4,0,13968
4,0,14527
4,0,14736
4,0,14946
4,0,14107
4,0,14457
4,0,25213
4,0,14317
4,0,15086
4,0,14387
4,0,14806
4,0,14876
4,0,14666
4,0,14038
4,0,14597
4,0,14946
4,0,13968
4,0,14736
4,0,14666
4,0,15016
4,0,14737
4,0,14667
4,0,15714
4,0,14526
4,0,13758
4,0,14527
4,0,14457
4,0,14876
4,0,15156
4,0,14807
4,0,14527
4,0,14666
4,0,14526
4,0,14667
4,0,14457
4,0,14457
4,0,14737
4,0,14457
4,0,14596
4,0,14597
4,0,14387
4,0,14317
4,0,14318
4,0,14457
4,0,14387
4,0,14667
4,0,14527
4,0,14527
4,0,14597
4,0,15085
4,0,15016
4,0,13968
4,0,15225
4,0,15155
4,0,15086
4,0,14526
4,0,14737
4,0,15155
4,0,14596
4,0,14457
4,0,14527
4,0,14387
4,0,14596
4,0,14666
4,0,13898
4,0,13619
4,0,14597
4,0,14387
4,0,14457
4,0,14806
4,0,14317
4,0,14596
4,0,14527
4,0,14597
4,0,14597
4,0,14178
4,0,14596
4,0,14806
4,0,14876
4,0,13968
4,0,13619
4,0,14736
4,0,14597
4,0,14666
4,0,14457
4,0,14248
4,0,14527
4,0,14596
4,0,14527
4,0,14457
4,0,14736
4,0,14596
4,0,14457
4,0,14946
4,0,15225
4,0,15225
4,0,15225
4,1,21580
4,1,18787
4,1,19276
4,1,18298
4,1,18438
4,1,18438
4,1,18578
4,1,17879
4,1,18158
4,1,17949
4,1,17111
4,1,17809
4,1,18508
4,1,17530
4,1,17740
4,1,17251
4,1,17320
4,1,18438
4,1,17879
4,1,17111
4,1,17879
4,1,18158
4,1,17390
4,1,18438
4,1,18438
4,1,17669
4,1,18158
4,1,17670
4,1,17670
4,1,17879
4,1,17251
4,1,17600
4,1,17949
4,1,18089
4,1,18508
4,1,18508
4,1,18508
4,1,18228
4,1,17880
4,1,17670
4,1,17809
4,1,17809
4,1,17879
4,1,18228
4,1,18508
4,1,18508
4,1,18578
4,1,18508
4,1,18507
4,1,17879
4,1,18437
4,1,18368
4,1,17949
4,1,17879
4,1,17880
4,1,17739
4,1,17809
4,1,17529
4,1,17600
4,1,17041
4,1,17949
4,1,17670
4,1,16971
4,1,18228
4,1,18507
4,1,18507
4,1,17670
4,1,18438
4,1,18507
4,1,18438
4,1,18438
4,1,18508
4,1,18438
4,1,18438
4,1,17880
4,1,17809
4,1,17809
4,1,17739
4,1,18368
4,1,18438
4,1,18508
4,1,17600
4,1,18438
4,1,18508
4,1,18438
4,1,18508
4,1,18438
4,1,18368
4,1,17949
4,1,17879
4,1,18089
4,1,18298
4,1,18019
4,1,17809
4,1,18718
4,1,18578
4,1,18368
4,1,16971
4,1,17391
4,1,17809
4,2,21930
4,2,20743
4,2,21162
4,2,21022
4,2,21372
4,2,19346
4,2,20044
4,2,19695
4,2,20603
4,2,20184
4,2,19625
4,2,20394
4,2,20324
4,2,19905
4,2,19974
4,2,20114
4,2,20044
4,2,19975
4,2,20673
4,2,19765
4,2,20324
4,2,20114
4,2,20253
4,2,19276
4,2,20114
4,2,19974
4,2,19974
4,2,20184
4,2,20183
4,2,20114
4,2,19765
4,2,19905
4,2,19416
4,2,20115
4,2,20184
4,2,20114
4,2,19834
4,2,19904
4,2,20254
4,2,20603
4,2,20324
4,2,20114
4,2,20114
4,2,19905
4,2,19975
4,2,19765
4,2,19695
4,2,20114
4,2,20114
4,2,20463
4,2,20464
4,2,19974
4,2,20324
4,2,20114
4,2,20114
4,2,20253
4,2,19206
4,2,20114
4,2,20323
4,2,20184
4,2,20254
4,2,19695
4,2,20114
4,2,20324
4,2,20253
4,2,19974
