n,m,ns
3,2,14317
3,2,14316
3,2,14108
3,2,14107
3,2,14037
3,2,14107
3,2,14107
3,2,14247
3,2,15294
3,2,14247
3,2,14246
3,2,14247
3,2,14107
3,2,14177
3,2,14457
3,2,14107
3,2,14177
3,2,14177
3,2,14037
3,2,14387
3,2,14246
3,2,14177
3,2,14177
3,2,14038
3,2,14107
3,2,14876
3,2,14666
3,2,14596
3,2,14456
3,2,14316
3,2,14386
3,2,15155
3,2,14247
3,2,14107
3,2,14526
3,2,40995
3,2,13967
3,2,14596
3,2,14247
3,2,15643
3,2,14317
3,2,14037
3,2,14526
3,2,14107
3,3,16412
3,3,16272
3,3,15923
3,3,16481
3,3,15923
3,3,15853
3,3,15713
3,3,15853
3,3,15854
3,3,15923
3,3,15714
3,3,15993
3,3,15993
3,3,15993
3,3,15853
3,3,16132
3,3,16063
3,3,16203
3,3,15853
3,3,15923
3,3,15714
3,3,15853
3,3,15993
3,3,15853
3,3,15923
3,3,15993
3,3,15993
3,3,15784
3,3,16272
3,3,16133
3,3,15923
3,3,16062
3,3,16411
3,3,15923
3,3,15853
3,3,15993
3,3,15853
3,3,15853
3,3,15714
3,3,16132
3,3,15923
3,3,16900
3,3,15643
3,3,15923
3,3,16133
3,3,16342
3,3,16062
3,3,15853
3,3,15993
3,3,15783
3,3,15993
3,3,15922
3,3,16272
3,3,16132
3,3,15783
3,3,15783
3,3,15714
3,3,16132
3,3,15923
3,3,16273
3,3,16063
3,3,15853
3,3,15923
3,3,16063
3,3,15853
3,3,15993
3,3,15992
3,3,16133
3,3,15853
3,3,15643
3,3,15923
3,3,15923
3,3,15853
3,3,16622
3,3,16133
3,3,16342
3,3,15783
3,3,16342
3,3,15853
3,3,15923
3,3,16342
3,3,16062
3,3,15923
3,3,15993
3,3,16971
3,3,15923
3,3,15783
3,3,16062
3,3,15783
3,3,15783
3,3,16342
3,3,16063
3,3,16132
3,3,16062
3,3,15993
3,3,15783
3,3,15923
3,3,15993
3,3,16132
3,3,15783
4,0,10475
4,0,9847
4,0,10057
4,0,9358
4,0,9429
4,0,10336
4,0,9358
4,0,9568
4,0,9288
4,0,9568
4,0,10197
4,0,9498
4,0,9288
4,0,9428
4,0,9358
4,0,9358
4,0,9219
4,0,9428
4,0,9498
4,0,9288
4,0,9637
4,0,9498
4,0,9358
4,0,9219
4,0,9288
4,0,9428
4,0,9289
4,0,9358
4,0,9358
4,0,9288
4,0,9568
4,0,9847
4,0,9777
4,0,9567
4,0,9428
4,0,9567
4,0,9428
4,0,9288
4,0,9358
4,0,9288
4,0,9428
4,0,9358
4,0,10126
4,0,9568
4,0,9498
4,0,9288
4,0,9428
4,0,9218
4,0,9358
4,0,9358
4,0,9917
4,0,9288
4,0,10056
4,0,9289
4,0,9708
4,0,9149
4,0,9288
4,0,9289
4,0,10126
4,0,9219
4,0,9428
4,0,10824
4,0,9778
4,0,9149
4,0,9567
4,0,9428
4,0,9707
4,0,9568
4,0,9288
4,0,9218
4,0,9568
4,0,9359
4,0,10126
4,0,9498
4,0,9219
4,0,9358
4,0,9289
4,0,9708
4,0,9288
4,0,9917
4,0,9289
4,0,9358
4,0,9219
4,0,9707
4,0,9428
4,0,9428
4,0,9358
4,0,9917
4,0,9498
4,0,9777
4,0,9289
4,0,9568
4,0,9707
4,0,10056
4,0,9288
4,0,9567
4,0,9707
4,0,9358
4,0,9358
4,0,9289
4,1,12850
4,1,12641
4,1,12571
4,1,12780
4,1,12361
4,1,12570
4,1,12222
4,1,12571
4,1,12222
4,1,12012
4,1,12012
4,1,12221
4,1,12012
4,1,12431
4,1,12292
4,1,11943
4,1,11873
4,1,11942
4,1,12501
4,1,12012
4,1,12082
4,1,12012
4,1,12291
4,1,12012
4,1,12291
4,1,11942
4,1,12151
4,1,12082
4,1,13060
4,1,11872
4,1,12431
4,1,11942
4,1,12361
4,1,12012
4,1,12571
4,1,12571
4,1,11942
4,1,11873
4,1,13129
4,1,12291
4,1,12361
4,1,12012
4,1,12501
4,1,12081
4,1,12362
4,1,12361
4,1,12152
4,1,12152
4,1,12082
4,1,12850
4,1,11942
4,1,11872
4,1,12570
4,1,11873
4,1,12221
4,1,11942
4,1,12082
4,1,12012
4,1,12571
4,1,12082
4,1,12012
4,1,11733
4,1,12152
4,1,12152
4,1,12152
4,1,11942
4,1,11802
4,1,12501
4,1,12082
4,1,12780
4,1,12500
4,1,12501
4,1,12152
4,1,11873
4,1,12012
4,1,12431
4,1,12291
4,1,12082
4,1,12152
4,1,12082
4,1,12989
4,1,12222
4,1,12222
4,1,11802
4,1,12012
4,1,12431
4,1,11942
4,1,12012
4,1,12222
4,1,12221
4,1,12082
4,1,11873
4,1,12151
4,1,12641
4,1,12082
4,1,12012
4,1,11872
4,1,12431
4,1,12710
4,1,11942
4,2,16063
4,2,15154
4,2,15085
4,2,15504
4,2,15015
4,2,14876
4,2,15364
4,2,15015
4,2,15714
4,2,14805
4,2,14875
4,2,14806
4,2,15435
4,2,14945
4,2,14666
4,2,15294
4,2,15713
4,2,15225
4,2,15295
4,2,14736
4,2,15015
4,2,15015
4,2,14876
4,2,15503
4,2,14945
4,2,14596
4,2,14735
4,2,14806
4,2,14875
4,2,14666
4,2,15434
4,2,14875
4,2,14945
4,2,14875
4,2,15574
4,2,14946
4,2,14665
4,2,14946
4,2,14526
4,2,14736
4,2,15225
4,2,14806
4,2,14876
4,2,15714
4,2,14875
4,2,14946
4,2,14805
4,2,15434
4,2,15365
4,2,15364
4,2,14666
4,2,15364
4,2,15085
4,2,14945
4,2,14805
4,2,14875
4,2,14875
4,2,14736
4,2,14806
4,2,14805
4,2,14736
4,2,14876
4,2,14735
4,2,15085
4,2,14597
4,2,14945
4,2,14666
4,2,14666
4,2,14526
4,2,15434
4,2,14596
4,2,14736
4,2,14875
4,2,14805
4,2,14666
4,2,15155
4,2,14875
4,2,14736
4,2,15085
4,2,14806
4,2,14805
4,2,14875
4,2,14736
4,2,14806
4,2,14736
4,2,14666
4,2,15155
4,2,14945
4,2,15015
4,2,14806
4,2,14875
4,2,15783
4,2,30449
4,2,12362
4,2,12361
4,2,12361
4,2,12781
4,2,13828
4,2,12222
4,2,12640
4,3,14456
4,3,14247
4,3,14177
4,3,13898
4,3,13968
4,3,13758
4,3,13968
4,3,13828
4,3,13897
4,3,13688
4,3,13828
4,3,13828
4,3,13968
4,3,13828
4,3,13828
4,3,14107
4,3,14107
4,3,13967
4,3,13688
4,3,14107
4,3,14246
4,3,16063
4,3,13758
4,3,13897
4,3,13828
4,3,13619
4,3,13688
4,3,13967
4,3,13618
4,3,13688
4,3,13968
4,3,13898
4,3,13828
4,3,13828
4,3,13688
4,3,14037
4,3,13967
4,3,14805
4,3,13688
4,3,13688
4,3,13898
4,3,14037
4,3,13758
4,3,13758
4,3,13478
4,3,13898
4,3,13828
4,3,13827
4,3,13828
4,3,13619
4,3,13688
4,3,14107
4,3,14177
4,3,14247
4,3,13897
4,3,14107
4,3,13758
4,3,14177
4,3,14247
4,3,16133
4,3,13758
4,3,13688
4,3,13758
4,3,13619
4,3,13688
4,3,13968
4,3,13688
4,3,13828
4,3,13828
4,3,13827
4,3,13758
4,3,13898
4,3,13688
4,3,13828
4,3,14038
4,3,13967
4,3,13898
4,3,13828
4,3,14247
4,3,13967
4,3,13689
4,3,13828
4,3,13758
4,3,13688
4,3,13618
4,3,13688
4,3,14107
4,3,14736
4,3,13827
4,3,14038
4,3,13828
4,3,13898
4,3,13619
4,3,13828
4,3,14037
4,3,14247
4,3,14247
4,3,14107
4,3,14178
4,3,14386
4,4,17390
4,4,16831
4,4,16761
4,4,16900
4,4,16691
4,4,16202
4,4,16272
4,4,16202
4,4,16412
4,4,16342
4,4,16272
4,4,16062
4,4,16342
4,4,16412
4,4,16203
4,4,16133
4,4,16342
4,4,16342
4,4,16342
4,4,16063
4,4,16272
4,4,16063
4,4,16202
4,4,16272
4,4,16272
4,4,17250
4,4,16761
4,4,16482
4,4,16621
4,4,16272
4,4,16482
4,4,16412
4,4,16203
4,4,16342
4,4,16272
4,4,16132
4,4,16202
4,4,16342
4,4,16133
4,4,16272
4,4,16272
4,4,16621
4,4,16622
4,4,16482
4,4,16272
4,4,16342
4,4,16203
4,4,16552
4,4,16272
4,4,16412
4,4,16342
4,4,16621
4,4,16622
4,4,16621
4,4,16342
4,4,16273
4,4,16342
4,4,16621
4,4,16203
4,4,16132
4,4,16062
4,4,16273
4,4,16202
4,4,16341
4,4,15923
4,4,16202
4,4,16203
4,4,16202
4,4,16132
4,4,16132
4,4,16342
4,4,16482
4,4,16133
4,4,16272
4,4,16342
4,4,16202
4,4,16342
4,4,16482
4,4,16132
4,4,16552
4,4,16552
4,4,16342
4,4,16133
4,4,16551
4,4,16412
4,4,16133
4,4,16412
4,4,16133
4,4,16341
4,4,16342
4,4,16552
4,4,16203
4,4,16482
4,4,16552
4,4,16272
4,4,16482
4,4,16482
4,4,16481
4,4,16342
4,4,16481
4,5,19625
4,5,18926
4,5,18786
4,5,19205
4,5,18926
4,5,19415
4,5,19065
4,5,18786
4,5,18717
4,5,18716
4,5,19135
4,5,18577
4,5,18297
4,5,18786
4,5,18716
4,5,18647
4,5,18647
4,5,18716
4,5,18717
4,5,18786
4,5,18926
4,5,18716
4,5,18507
4,5,18856
4,5,18996
4,5,18995
4,5,18786
4,5,19275
4,5,18717
4,5,18786
4,5,18856
4,5,19066
4,5,18996
4,5,18996
4,5,19555
4,5,18577
4,5,18856
4,5,18716
4,5,18507
4,5,18506
4,5,18646
4,5,20742
4,5,18646
4,5,18856
4,5,18298
4,5,18647
4,5,19066
4,5,18647
4,5,18646
4,5,18856
4,5,18367
4,5,18856
4,5,18646
4,5,18367
4,5,18786
4,5,18576
4,5,18646
4,5,19485
4,5,18577
4,5,18507
4,5,18437
4,5,20323
4,5,18507
4,5,18368
4,5,18507
4,5,18507
4,5,18996
4,5,18787
4,5,19205
4,5,18576
4,5,18576
4,5,19065
4,5,19205
4,5,18646
4,5,18996
4,5,18716
4,5,18437
4,5,18228
4,5,18576
4,5,18716
4,5,18367
4,5,18716
4,5,18507
4,5,18716
4,5,18577
4,5,18367
4,5,18646
4,5,18368
4,5,18577
4,5,18646
4,5,18507
4,5,18437
4,5,18577
4,5,18507
4,5,18647
4,5,19276
4,5,19065
4,5,19065
4,5,18856
4,5,18856
4,6,21021
4,6,20253
4,6,19764
4,6,20043
