n,m,ns
3,2,19486
3,2,19416
3,2,19276
3,2,19345
3,2,19416
3,2,19276
3,2,19485
3,2,19485
3,2,19416
3,2,19416
3,2,19276
3,2,19416
3,2,19416
3,2,18787
3,2,19695
3,2,19626
3,2,19346
3,2,19485
3,2,19276
3,2,19416
3,2,19416
3,2,19485
3,2,19485
3,2,19555
3,2,19555
3,2,19415
3,2,19416
3,2,19556
3,2,19416
3,2,19486
3,2,19416
3,2,19625
3,2,19346
3,2,19485
3,2,18857
3,2,19276
3,2,19695
3,2,19486
3,2,19206
3,2,19416
3,2,19346
3,2,19345
3,2,19136
3,2,19485
3,3,22000
3,3,19905
3,3,21162
3,3,20813
3,3,20673
3,3,20463
3,3,20254
3,3,20114
3,3,20673
3,3,20603
3,3,20672
3,3,20184
3,3,20044
3,3,21091
3,3,20882
3,3,20673
3,3,20952
3,3,20812
3,3,20812
3,3,20882
3,3,20883
3,3,19625
3,3,20743
3,3,20882
3,3,20183
3,3,20184
3,3,20882
3,3,20742
3,3,20672
3,3,20952
3,3,20813
3,3,20952
3,3,20673
3,3,20812
3,3,20673
3,3,20743
3,3,20673
3,3,20044
3,3,20673
3,3,20673
3,3,20464
3,3,20533
3,3,20882
3,3,20742
3,3,20673
3,3,20743
3,3,20743
3,3,20742
3,3,20603
3,3,20812
3,3,20952
3,3,20882
3,3,20813
3,3,20673
3,3,20463
3,3,20673
3,3,20813
3,3,20882
3,3,20673
3,3,19974
3,3,20254
3,3,30869
3,3,21441
3,3,20673
3,3,20743
3,3,20743
3,3,20812
3,3,20743
3,3,20742
3,3,20393
3,3,20603
3,3,20603
3,3,20533
3,3,20673
3,3,20743
3,3,19905
3,3,20673
3,3,20742
3,3,20533
3,3,20743
3,3,20813
3,3,20743
3,3,20045
3,3,20463
3,3,20742
3,3,20743
3,3,20114
3,3,20603
3,3,20603
3,3,20742
3,3,20812
3,3,20603
3,3,20673
3,3,20672
3,3,20603
3,3,20743
3,3,20183
3,3,20882
3,3,20602
3,3,20812
4,0,14527
4,0,14108
4,0,13130
4,0,13060
4,0,13758
4,0,13828
4,0,13549
4,0,13759
4,0,12920
4,0,13758
4,0,13968
4,0,13828
4,0,12781
4,0,13340
4,0,13549
4,0,12990
4,0,12850
4,0,12920
4,0,12781
4,0,13619
4,0,13619
4,0,13689
4,0,13549
4,0,13759
4,0,13688
4,0,13688
4,0,12920
4,0,13619
4,0,13410
4,0,13619
4,0,13409
4,0,13619
4,0,13410
4,0,13689
4,0,12781
4,0,13689
4,0,13549
4,0,13479
4,0,12641
4,0,13549
4,0,13409
4,0,13409
4,0,12641
4,0,13828
4,0,13549
4,0,13549
4,0,13619
4,0,13619
4,0,13340
4,0,13549
4,0,12711
4,0,13619
4,0,13479
4,0,13479
4,0,13339
4,0,13549
4,0,13619
4,0,13619
4,0,12641
4,0,13829
4,0,12711
4,0,13619
4,0,13410
4,0,13689
4,0,13549
4,0,13410
4,0,12850
4,0,13689
4,0,13549
4,0,13549
4,0,13549
4,0,13549
4,0,13619
4,0,13130
4,0,12642
4,0,13689
4,0,13688
4,0,13688
4,0,13410
4,0,13130
4,0,13619
4,0,13689
4,0,12781
4,0,13759
4,0,13619
4,0,13549
4,0,13410
4,0,13549
4,0,13549
4,0,13479
4,0,12781
4,0,13758
4,0,13549
4,0,13549
4,0,13549
4,0,13689
4,0,13689
4,0,13759
4,0,12781
4,0,13689
4,1,19066
4,1,17460
4,1,17879
4,1,18088
4,1,17949
4,1,17391
4,1,17740
