n,m,p,it,ns
2,1,0.1,3,43301
2,1,0.1,3,43511
2,1,0.1,3,43791
2,1,0.1,3,43930
2,1,0.1,3,43511
2,1,0.1,3,43092
2,1,0.1,3,43092
2,1,0.1,3,43511
2,1,0.1,3,42743
2,1,0.1,3,43511
2,1,0.1,3,51264
2,1,0.1,3,53498
2,1,0.1,3,42952
2,1,0.1,3,43651
2,1,0.1,3,43232
2,1,0.1,3,43371
2,1,0.1,3,43442
2,1,0.1,3,42743
2,1,0.1,3,42603
2,1,0.1,3,43162
2,1,0.1,3,42394
2,1,0.1,3,43022
2,1,0.1,3,43092
2,1,0.1,3,42813
2,1,0.1,3,43302
2,1,0.1,3,43162
2,1,0.1,3,42603
2,1,0.1,3,42603
2,1,0.1,3,42184
2,1,0.1,3,42464
2,1,0.1,3,43302
2,1,0.1,3,41765
2,1,0.1,3,42044
2,1,0.1,3,43162
2,1,0.1,3,42883
2,1,0.1,3,43162
2,1,0.1,3,43721
2,1,0.1,3,43441
2,1,0.1,3,43651
2,1,0.1,3,42254
2,1,0.1,3,42394
2,1,0.1,3,43162
2,1,0.1,3,43511
2,1,0.1,3,42673
2,1,0.1,3,42743
2,1,0.1,3,43022
2,1,0.1,3,42743
2,1,0.1,3,42533
2,1,0.1,3,42463
2,1,0.1,3,43581
2,1,0.1,3,42184
2,1,0.1,3,43442
2,1,0.1,3,43371
2,1,0.1,3,42603
2,1,0.1,3,43302
2,1,0.1,3,43511
2,1,0.1,3,42464
2,1,0.1,3,43092
2,1,0.1,3,42952
2,1,0.1,3,43372
2,1,0.1,3,43092
2,1,0.1,3,43231
2,1,0.1,3,43511
2,1,0.1,3,42882
2,1,0.1,3,43302
2,1,0.1,3,43092
2,1,0.1,3,43162
2,1,0.1,3,43022
2,1,0.1,3,42952
2,1,0.1,3,42114
2,1,0.1,3,43372
2,1,0.1,3,42603
2,1,0.1,3,43162
2,1,0.1,3,43511
2,1,0.1,3,43371
2,1,0.1,3,43372
2,1,0.1,3,43162
2,1,0.1,3,43371
2,1,0.1,3,42813
2,1,0.1,3,42813
2,1,0.1,3,43441
2,1,0.1,3,43511
2,1,0.1,3,43302
2,1,0.1,3,43371
2,1,0.1,3,43302
2,1,0.1,3,43092
2,1,0.1,4,82762
2,1,0.1,4,55663
2,1,0.1,4,56502
2,1,0.1,4,56152
2,1,0.1,4,56780
2,1,0.1,4,55943
2,1,0.1,4,56781
2,1,0.1,4,56781
2,1,0.1,4,81994
2,1,0.1,4,53638
2,1,0.1,4,54336
2,1,0.1,4,53149
2,1,0.1,4,54476
2,1,0.1,4,54685
2,1,0.1,4,54476
2,1,0.1,4,54406
2,1,0.1,4,53778
2,1,0.1,4,53289
2,1,0.1,4,53568
2,1,0.1,4,54615
2,1,0.1,4,53079
2,1,0.1,4,54546
2,1,0.1,4,54197
2,1,0.1,4,54406
2,1,0.1,4,53778
2,1,0.1,4,54476
2,1,0.1,4,54616
2,1,0.1,4,54266
2,1,0.1,4,53848
2,1,0.1,4,53917
2,1,0.1,4,54546
2,1,0.1,4,54755
2,1,0.1,4,54476
2,1,0.1,4,54616
2,1,0.1,4,54407
2,1,0.1,4,54266
2,1,0.1,4,54755
2,1,0.1,4,53568
2,1,0.1,4,53917
2,1,0.1,4,54407
2,1,0.1,4,54616
2,1,0.1,4,54546
2,1,0.1,4,54616
2,1,0.1,4,53848
2,1,0.1,4,54266
2,1,0.1,4,54476
2,1,0.1,4,54266
2,1,0.1,4,54126
2,1,0.1,4,54196
2,1,0.1,4,54476
2,1,0.1,4,54476
2,1,0.1,4,54336
2,1,0.1,4,53848
2,1,0.1,4,52870
2,1,0.1,4,54197
2,1,0.1,4,52730
2,1,0.1,4,54267
2,1,0.1,4,54267
2,1,0.1,4,54266
2,1,0.1,4,54057
2,1,0.1,4,53987
2,1,0.1,4,54615
2,1,0.1,4,53847
2,1,0.1,4,54616
2,1,0.1,4,53358
2,1,0.1,4,53638
2,1,0.1,4,52939
2,1,0.1,4,53918
2,1,0.1,4,54825
2,1,0.1,4,54546
2,1,0.1,4,54476
2,1,0.1,4,53917
2,1,0.1,4,53638
2,1,0.1,4,54267
2,1,0.1,4,54336
2,1,0.1,4,53707
2,1,0.1,4,54057
2,1,0.1,4,63905
2,1,0.1,4,53708
2,1,0.1,4,54616
2,1,0.1,4,54755
2,1,0.1,4,54127
2,1,0.1,4,54826
2,1,0.1,4,54755
2,1,0.1,4,54267
2,1,0.1,4,54127
2,1,0.1,4,53498
2,1,0.1,4,54406
2,1,0.1,4,54406
2,1,0.1,4,54406
2,1,0.1,4,54196
2,1,0.1,4,54126
2,1,0.1,4,53847
2,1,0.1,4,54476
2,1,0.1,4,53149
2,1,0.1,4,54127
2,1,0.1,4,54267
2,1,0.1,4,53498
2,1,0.1,4,54616
2,1,0.1,4,54337
2,1,0.1,5,66977
2,1,0.1,5,64324
2,1,0.1,5,66698
2,1,0.1,5,67396
2,1,0.1,5,65441
2,1,0.1,5,67257
2,1,0.1,5,66628
2,1,0.1,5,64673
2,1,0.1,5,65650
2,1,0.1,5,66628
2,1,0.1,5,67536
2,1,0.1,5,67257
2,1,0.1,5,66768
2,1,0.1,5,67397
2,1,0.1,5,67117
2,1,0.1,5,66279
2,1,0.1,5,66768
2,1,0.1,5,67466
2,1,0.1,5,67815
2,1,0.1,5,67676
2,1,0.1,5,67117
2,1,0.1,5,67467
2,1,0.1,5,66978
2,1,0.1,5,67397
2,1,0.1,5,67606
2,1,0.1,5,68025
2,1,0.1,5,67327
2,1,0.1,5,67467
2,1,0.1,5,66629
2,1,0.1,5,67117
2,1,0.1,5,67187
2,1,0.1,5,67466
2,1,0.1,5,67187
2,1,0.1,5,66209
2,1,0.1,5,66908
2,1,0.1,5,67257
2,1,0.1,5,66908
2,1,0.1,5,66070
2,1,0.1,5,83460
2,1,0.1,5,66000
2,1,0.1,5,67327
2,1,0.1,5,65860
2,1,0.1,5,67536
2,1,0.1,5,66768
2,1,0.1,5,66628
2,1,0.1,5,67326
2,1,0.1,5,67606
2,1,0.1,5,67187
2,1,0.1,5,67537
2,1,0.1,5,67606
2,1,0.1,5,67467
2,1,0.1,5,67187
2,1,0.1,5,67396
2,1,0.1,5,66978
2,1,0.1,5,65651
2,1,0.1,5,67048
2,1,0.1,5,65930
2,1,0.1,5,67327
2,1,0.1,5,67327
2,1,0.1,5,66628
2,1,0.1,5,66628
2,1,0.1,5,66279
2,1,0.1,5,67467
2,1,0.1,5,66349
2,1,0.1,5,67257
2,1,0.1,5,67466
2,1,0.1,5,66977
2,1,0.1,5,67187
2,1,0.1,5,67537
2,1,0.1,5,67536
2,1,0.1,5,66908
2,1,0.1,5,67466
2,1,0.1,5,67327
2,1,0.1,5,67047
2,1,0.1,5,67606
2,1,0.1,5,66978
2,1,0.1,5,67187
2,1,0.1,5,66559
2,1,0.1,5,67397
2,1,0.1,5,67397
2,1,0.1,5,67327
2,1,0.1,5,65650
2,1,0.1,5,67396
2,1,0.1,5,67467
2,1,0.1,5,66768
2,1,0.1,5,66558
2,1,0.1,5,65721
2,1,0.1,5,66698
2,1,0.1,5,66139
2,1,0.1,5,67117
2,1,0.1,5,66768
2,1,0.1,5,67047
2,1,0.1,5,66349
2,1,0.1,5,67047
2,1,0.1,5,67606
2,1,0.1,5,78571
2,1,0.1,5,76476
2,1,0.1,5,64673
2,1,0.1,5,65092
2,1,0.1,5,64463
2,1,0.2,1,14876
2,1,0.2,1,13759
2,1,0.2,1,15504
2,1,0.2,1,15295
2,1,0.2,1,14667
2,1,0.2,1,14667
2,1,0.2,1,14737
2,1,0.2,1,13479
2,1,0.2,1,12921
2,1,0.2,1,13828
2,1,0.2,1,12850
2,1,0.2,1,15085
2,1,0.2,1,14737
2,1,0.2,1,14806
2,1,0.2,1,14806
2,1,0.2,1,14736
2,1,0.2,1,13968
2,1,0.2,1,14667
2,1,0.2,1,14667
2,1,0.2,1,15016
2,1,0.2,1,14667
2,1,0.2,1,14807
2,1,0.2,1,14806
2,1,0.2,1,14737
2,1,0.2,1,14667
2,1,0.2,1,14666
2,1,0.2,1,14736
2,1,0.2,1,14806
2,1,0.2,1,14247
2,1,0.2,1,14667
2,1,0.2,1,13480
2,1,0.2,1,14736
2,1,0.2,1,14038
2,1,0.2,1,13968
2,1,0.2,1,14806
2,1,0.2,1,14247
2,1,0.2,1,14248
2,1,0.2,1,14597
2,1,0.2,1,14178
2,1,0.2,1,13200
2,1,0.2,1,14736
2,1,0.2,1,14597
2,1,0.2,1,14527
2,1,0.2,1,14876
2,1,0.2,1,14666
2,1,0.2,1,14736
2,1,0.2,1,14736
2,1,0.2,1,14248
2,1,0.2,1,14247
2,1,0.2,1,14736
2,1,0.2,1,14736
2,1,0.2,1,14597
2,1,0.2,1,14737
2,1,0.2,1,14388
2,1,0.2,1,14457
2,1,0.2,1,14666
2,1,0.2,1,14317
2,1,0.2,1,14108
2,1,0.2,1,14877
2,1,0.2,1,14807
2,1,0.2,1,14178
2,1,0.2,1,14736
2,1,0.2,1,14806
2,1,0.2,1,14737
2,1,0.2,1,14527
2,1,0.2,1,14317
2,1,0.2,1,14247
2,1,0.2,1,14666
2,1,0.2,1,14666
2,1,0.2,1,14737
2,1,0.2,1,14597
2,1,0.2,1,14596
2,1,0.2,1,14178
2,1,0.2,1,14596
2,1,0.2,1,14038
2,1,0.2,1,14247
2,1,0.2,1,14597
2,1,0.2,1,14597
2,1,0.2,1,14597
2,1,0.2,1,14527
2,1,0.2,1,14667
2,1,0.2,1,14807
2,1,0.2,1,14667
2,1,0.2,1,14318
2,1,0.2,1,14177
2,1,0.2,1,14667
2,1,0.2,1,14667
2,1,0.2,1,14596
2,1,0.2,1,14667
2,1,0.2,1,14667
2,1,0.2,1,14667
2,1,0.2,1,14596
2,1,0.2,1,14108
2,1,0.2,1,14108
2,1,0.2,1,14666
2,1,0.2,1,14597
2,1,0.2,1,14666
2,1,0.2,1,13829
2,1,0.2,1,14597
2,1,0.2,1,14597
2,1,0.2,2,27169
2,1,0.2,2,26609
2,1,0.2,2,25702
2,1,0.2,2,26889
2,1,0.2,2,25702
2,1,0.2,2,27797
2,1,0.2,2,26261
2,1,0.2,2,28286
2,1,0.2,2,26400
2,1,0.2,2,25701
2,1,0.2,2,26959
2,1,0.2,2,26679
2,1,0.2,2,26819
2,1,0.2,2,27098
2,1,0.2,2,27098
2,1,0.2,2,27098
2,1,0.2,2,27099
2,1,0.2,2,27099
2,1,0.2,2,27099
2,1,0.2,2,27238
2,1,0.2,2,26609
2,1,0.2,2,27028
2,1,0.2,2,26330
2,1,0.2,2,27168
2,1,0.2,2,27028
2,1,0.2,2,27238
2,1,0.2,2,27099
2,1,0.2,2,27238
2,1,0.2,2,27098
2,1,0.2,2,27308
2,1,0.2,2,27238
2,1,0.2,2,26749
2,1,0.2,2,27238
2,1,0.2,2,27029
2,1,0.2,2,27168
2,1,0.2,2,27308
2,1,0.2,2,26470
2,1,0.2,2,26540
2,1,0.2,2,27168
2,1,0.2,2,26959
2,1,0.2,2,27238
