n,m,ns
3,2,19066
3,2,19346
3,2,18927
3,2,19276
3,2,19345
3,2,19136
3,2,19136
3,2,19555
3,2,19765
3,2,19556
3,2,19626
3,2,19276
3,2,19206
3,2,19206
3,2,19625
3,2,19485
3,2,19416
3,2,19485
3,2,19206
3,2,19136
3,2,19136
3,2,19136
3,2,19066
3,2,19276
3,2,19276
3,2,19206
3,2,19067
3,2,18996
3,2,19066
3,2,19206
3,2,19346
3,2,18857
3,2,19276
3,2,19206
3,2,18927
3,2,18927
3,2,19345
3,2,19555
3,2,19556
3,2,19695
3,2,19416
3,2,19345
3,2,19346
3,2,18787
3,3,23326
3,3,21441
3,3,22349
3,3,21441
3,3,22907
3,3,21580
3,3,21022
3,3,21720
3,3,21441
3,3,21650
3,3,21511
3,3,21720
3,3,21790
3,3,21720
3,3,21860
3,3,21580
3,3,21790
3,3,21441
3,3,20882
3,3,21511
3,3,21441
3,3,21371
3,3,21301
3,3,21790
3,3,21581
3,3,21790
3,3,21371
3,3,21511
3,3,21511
3,3,21580
3,3,21441
3,3,21511
3,3,21441
3,3,21790
3,3,21441
3,3,21092
3,3,21581
3,3,21650
3,3,21790
3,3,21651
3,3,21372
3,3,21581
3,3,21511
3,3,21511
3,3,21581
3,3,21301
3,3,21511
3,3,21371
3,3,21511
3,3,21511
3,3,21581
3,3,21511
3,3,21790
3,3,22000
3,3,21930
3,3,21930
3,3,21720
3,3,21441
3,3,21790
3,3,21441
3,3,21162
3,3,21371
3,3,21441
3,3,21301
3,3,20952
3,3,21580
3,3,21581
3,3,21441
3,3,21511
3,3,21301
3,3,21441
3,3,21860
3,3,21511
3,3,21301
3,3,21301
3,3,21511
3,3,21371
3,3,21650
3,3,21511
3,3,21232
3,3,21650
3,3,21231
3,3,20813
3,3,21302
3,3,22000
3,3,22069
3,3,22070
3,3,22070
3,3,21860
3,3,21650
3,3,21720
3,3,21581
3,3,21301
3,3,21022
3,3,21371
3,3,21301
3,3,21371
3,3,21510
3,3,22000
3,3,21510
4,0,21580
4,0,19136
4,0,17809
4,0,17041
4,0,16832
4,0,17809
4,0,15993
4,0,16971
4,0,16971
4,0,16622
4,0,16482
4,0,16692
4,0,16972
4,0,17460
4,0,16972
4,0,17390
4,0,16831
4,0,16552
4,0,53078
4,0,17321
4,0,30241
4,0,17391
4,0,16831
4,0,16831
4,0,16901
4,0,16901
4,0,16553
4,0,16971
4,0,16622
4,0,16832
4,0,16622
4,0,16761
4,0,16343
4,0,16762
4,0,16553
4,0,16552
4,0,16203
4,0,16971
4,0,16482
4,0,16832
4,0,16971
4,0,16622
4,0,16761
4,0,16831
4,0,17041
4,0,16761
4,0,16692
4,0,17250
4,0,16482
4,0,16622
4,0,16692
4,0,16622
4,0,16762
4,0,16692
4,0,16272
4,0,16622
4,0,16552
4,0,16692
4,0,16831
4,0,16762
4,0,16552
4,0,15854
4,0,16552
4,0,16902
4,0,16762
4,0,17041
4,0,16692
4,0,16831
4,0,16761
4,0,16692
4,0,16692
4,0,16762
4,0,16762
4,0,16622
4,0,16552
4,0,16761
4,0,16692
4,0,16692
4,0,16901
4,0,17390
4,0,17181
4,0,15784
4,0,16761
4,0,16692
4,0,16483
4,0,16552
4,0,16482
4,0,16622
4,0,16133
4,0,16552
4,0,16622
4,0,16552
4,0,16692
4,0,16622
4,0,15993
4,0,17041
4,0,16553
4,0,16482
4,0,16482
4,0,16482
4,1,22768
4,1,34851
4,1,20254
4,1,20882
4,1,21301
4,1,20324
4,1,21092
4,1,20673
4,1,21022
4,1,20253
4,1,21231
4,1,20882
4,1,20743
4,1,21021
4,1,20883
4,1,20952
4,1,21091
4,1,21022
4,1,20533
4,1,21022
4,1,20812
4,1,21092
4,1,20742
4,1,21162
4,1,20952
4,1,20184
4,1,21092
4,1,21511
4,1,21022
4,1,21371
4,1,20882
4,1,21022
4,1,20603
4,1,20952
4,1,21371
4,1,21301
4,1,21651
4,1,21510
4,1,20743
4,1,20882
4,1,21301
4,1,21511
4,1,21651
4,1,21650
4,1,21301
4,1,20743
4,1,21161
4,1,21441
4,1,21161
4,1,21162
4,1,20742
4,1,20813
4,1,21581
4,1,20882
4,1,20882
4,1,20952
4,1,20882
4,1,21231
4,1,21022
4,1,21232
4,1,20812
4,1,20743
4,1,20742
4,1,20603
4,1,20882
4,1,21581
4,1,21371
4,1,21371
4,1,21581
4,1,21231
4,1,21162
4,1,21091
4,1,20883
4,1,20952
4,1,20812
4,1,20882
4,1,20952
4,1,21441
4,1,20673
4,1,21022
4,1,20952
4,1,20603
4,1,21092
4,1,21790
4,1,21511
4,1,21580
4,1,21232
4,1,20882
4,1,20953
4,1,21022
4,1,21721
4,1,21161
4,1,20882
4,1,21022
4,1,20254
4,1,20673
4,1,48888
4,1,20184
4,1,19835
4,1,19765
4,2,23816
4,2,23607
4,2,22559
4,2,22279
4,2,22349
4,2,22419
4,2,22698
4,2,22070
4,2,22279
4,2,22279
4,2,22419
4,2,22349
4,2,22349
4,2,22418
4,2,22558
4,2,21651
4,2,22279
4,2,22070
4,2,22559
4,2,21581
4,2,22698
4,2,23047
4,2,22768
4,2,22209
4,2,22419
4,2,22349
4,2,22349
4,2,22279
4,2,21999
4,2,22628
4,2,22698
4,2,22629
4,2,22069
4,2,22489
4,2,22489
4,2,22140
4,2,22418
4,2,22210
4,2,22838
4,2,22768
4,2,22349
4,2,22418
4,2,22210
4,2,22907
4,2,22838
4,2,22069
4,2,22140
4,2,22139
4,2,22279
4,2,22140
4,2,22209
4,2,22768
4,2,22419
4,2,22139
4,2,22209
4,2,22559
4,2,22279
4,2,22768
4,2,22279
4,2,22209
4,2,22838
4,2,22977
4,2,22628
4,2,22070
4,2,22069
4,2,22209
4,2,22279
4,2,22000
4,2,22139
4,2,21860
4,2,21930
4,2,22419
4,2,22140
4,2,22139
4,2,21860
4,2,21650
4,2,22070
4,2,22070
4,2,22069
4,2,21790
4,2,21650
4,2,22209
4,2,22280
4,2,21929
4,2,22419
4,2,22209
4,2,22488
4,2,22069
4,2,22419
4,2,22139
4,2,22209
4,2,22418
4,2,22349
4,2,22489
4,2,22069
4,2,22209
4,2,22349
4,2,22489
4,2,22488
4,2,22419
4,3,30311
4,3,27797
4,3,27587
4,3,28006
4,3,27238
4,3,27377
4,3,27308
4,3,27237
4,3,27099
4,3,26889
4,3,27238
4,3,27377
4,3,26819
4,3,27307
4,3,26888
4,3,26888
4,3,27936
4,3,27796
4,3,26889
4,3,27237
4,3,26120
4,3,27587
4,3,26749
4,3,27656
4,3,28076
4,3,28006
4,3,28006
4,3,27936
4,3,27936
4,3,27307
4,3,27237
4,3,27099
4,3,27167
4,3,27726
4,3,27727
4,3,26958
4,3,26819
4,3,27377
4,3,27098
4,3,27168
4,3,27517
4,3,27867
4,3,26888
4,3,39320
4,3,27796
4,3,27238
4,3,27098
4,3,27168
4,3,26958
4,3,27028
4,3,26260
4,3,27029
4,3,26819
4,3,27308
4,3,27378
4,3,26958
4,3,27307
4,3,27308
4,3,26819
4,3,27168
4,3,26958
4,3,27168
4,3,27936
4,3,27796
4,3,27936
4,3,27517
4,3,27308
4,3,26888
4,3,26958
4,3,27447
4,3,28075
4,3,27308
4,3,26819
4,3,27447
4,3,26819
4,3,27028
4,3,26749
4,3,26958
4,3,26470
4,3,26818
4,3,27028
4,3,27237
4,3,27168
4,3,26819
4,3,26958
4,3,26819
4,3,26469
4,3,27029
4,3,26679
4,3,26610
4,3,27936
4,3,27656
4,3,27029
4,3,27447
4,3,27307
4,3,27377
4,3,28006
4,3,28006
4,3,27377
4,3,27168
4,4,33803
4,4,33594
4,4,31359
4,4,31079
4,4,30939
4,4,30660
4,4,31009
4,4,31009
4,4,31149
4,4,31079
4,4,30939
4,4,31567
4,4,32756
4,4,30380
4,4,30870
4,4,31288
4,4,31708
4,4,31498
4,4,31707
4,4,31079
4,4,30311
4,4,30939
4,4,30730
4,4,30450
4,4,30660
4,4,30520
4,4,30380
4,4,30870
4,4,30520
4,4,30799
4,4,30939
4,4,31778
4,4,31707
4,4,31638
4,4,31079
4,4,30590
4,4,31079
4,4,31009
4,4,30520
4,4,30521
4,4,30521
4,4,30729
4,4,30940
4,4,30590
4,4,31009
4,4,30729
4,4,30800
4,4,30799
4,4,30659
4,4,30381
4,4,30869
4,4,30311
4,4,30031
4,4,30870
4,4,31009
4,4,30869
4,4,30729
4,4,30451
4,4,30660
4,4,30939
4,4,31009
4,4,30940
4,4,30730
4,4,30590
4,4,30660
4,4,30800
4,4,30660
4,4,41765
4,4,31079
4,4,31218
4,4,30800
4,4,30869
4,4,30730
4,4,31428
4,4,30869
4,4,30031
4,4,30870
4,4,31079
4,4,31708
4,4,31498
4,4,31079
4,4,30940
4,4,30939
4,4,30799
4,4,31010
4,4,30591
4,4,31428
4,4,30729
4,4,31079
4,4,30660
4,4,30520
4,4,31219
4,4,31009
4,4,31079
4,4,30730
4,4,30869
4,4,30590
4,4,30381
4,4,30869
4,4,30730
4,5,40088
4,5,39390
4,5,39320
4,5,40158
4,5,39460
4,5,38831
4,5,38203
4,5,37923
4,5,36946
4,5,37713
4,5,37225
4,5,36736
4,5,36736
4,5,36108
4,5,36317
4,5,35619
4,5,37085
4,5,36736
4,5,37294
4,5,37574
4,5,37644
4,5,37225
4,5,36457
4,5,36247
4,5,36038
4,5,37365
4,5,36666
4,5,36038
4,5,36108
4,5,37015
4,5,36317
4,5,35967
4,5,36108
4,5,36107
4,5,36247
4,5,36456
4,5,36038
4,5,36945
4,5,37505
4,5,37015
4,5,36456
4,5,36596
4,5,36247
4,5,36527
4,5,36596
4,5,37155
4,5,36876
4,5,36038
4,5,36387
4,5,36107
4,5,36387
4,5,35968
4,5,36248
4,5,35897
4,5,36038
4,5,37085
4,5,36386
4,5,36387
4,5,36038
4,5,36107
4,5,35828
4,5,36037
4,5,36177
4,5,36317
4,5,37295
4,5,37015
4,5,36526
4,5,36177
4,5,36317
4,5,36107
4,5,36457
4,5,36317
4,5,48399
4,5,34152
4,5,34361
4,5,34152
4,5,34641
4,5,33803
4,5,34571
4,5,34571
4,5,34780
4,5,35200
4,5,33663
4,5,34292
4,5,34221
4,5,35409
4,5,35059
4,5,34431
4,5,34501
4,5,34222
4,5,35130
4,5,34850
4,5,33523
4,5,34082
4,5,34571
4,5,34291
4,5,34152
4,5,34711
4,5,34152
4,5,34710
4,6,44907
4,6,42882
4,6,45466
4,6,42533
4,6,40507
4,6,41415
4,6,39669
4,6,38971
