n,m,ns
3,2,30798
3,2,30729
3,2,30659
3,2,30729
3,2,30798
3,2,30659
3,2,50842
3,2,27935
3,2,28005
3,2,28493
3,2,28494
3,2,28214
3,2,28424
3,2,27935
3,2,28424
3,2,28354
3,2,28144
3,2,28074
3,2,28144
3,2,28005
3,2,28773
3,2,28424
3,2,28284
3,2,28284
3,2,28005
3,2,28633
3,2,28075
3,2,28215
3,2,28284
3,2,28564
3,2,28075
3,2,27726
3,2,28075
3,2,28145
3,2,28354
3,2,28284
3,2,28354
3,2,28354
3,2,28424
3,2,28215
3,2,28284
3,2,28215
3,2,28214
3,2,28005
3,3,30240
3,3,29751
3,3,29821
3,3,29751
3,3,29751
3,3,29751
3,3,29960
3,3,29751
3,3,29960
3,3,29611
3,3,29681
3,3,29751
3,3,29751
3,3,30030
3,3,29820
3,3,29961
3,3,29611
3,3,29820
3,3,29680
3,3,29611
3,3,29821
3,3,29680
3,3,29611
3,3,29751
3,3,29751
3,3,29611
3,3,29681
3,3,29820
3,3,29681
3,3,29960
3,3,29960
3,3,29681
3,3,30030
3,3,29680
3,3,29960
3,3,30519
3,3,30100
3,3,30449
3,3,30310
3,3,30169
3,3,30240
3,3,30729
3,3,30100
3,3,30169
3,3,30030
3,3,30589
3,3,30519
3,3,30449
3,3,30240
3,3,29961
3,3,30589
3,3,30240
3,3,30379
3,3,30449
3,3,30169
3,3,30519
3,3,30169
3,3,30449
3,3,30729
3,3,30589
3,3,30380
3,3,30310
3,3,30100
3,3,30518
3,3,30170
3,3,30309
3,3,30170
3,3,30449
3,3,30659
3,3,30170
3,3,30519
3,3,30379
3,3,30309
3,3,30310
3,3,30449
3,3,30309
3,3,30239
3,3,30589
3,3,30449
3,3,30100
3,3,30309
3,3,30240
3,3,30240
3,3,30938
3,3,30169
3,3,30169
3,3,30239
3,3,30100
3,3,30518
3,3,30239
3,3,30310
3,3,30449
3,3,30239
3,3,30239
3,3,30449
3,3,30798
3,3,30030
3,3,30868
3,3,30170
3,3,30658
4,0,18507
4,0,18227
4,0,17739
4,0,17669
4,0,17599
4,0,18158
4,0,17389
4,0,17808
4,0,17738
4,0,17389
4,0,17320
4,0,17460
4,0,17390
4,0,17390
4,0,17459
4,0,17530
4,0,17459
4,0,17529
4,0,17599
4,0,17389
4,0,17529
4,0,17459
4,0,17389
4,0,17599
4,0,17459
4,0,17320
4,0,17599
4,0,17389
4,0,17389
4,0,17389
4,0,17459
4,0,17389
4,0,17459
4,0,17459
4,0,17390
4,0,17599
4,0,17390
4,0,17459
4,0,17599
4,0,17460
4,0,17460
4,0,17460
4,0,17320
4,0,17459
4,0,17599
4,0,17529
4,0,17390
4,0,17460
4,0,17530
4,0,17389
4,0,17738
4,0,17320
4,0,17389
4,0,17529
4,0,17460
4,0,17529
4,0,17459
4,0,17529
4,0,17390
4,0,17389
4,0,17599
4,0,17250
4,0,17460
4,0,17460
4,0,17390
4,0,17599
4,0,17460
4,0,17320
4,0,17529
4,0,17459
4,0,17459
4,0,17460
4,0,17320
4,0,17460
4,0,17599
4,0,17529
4,0,17319
4,0,17599
4,0,17529
4,0,17459
4,0,17530
4,0,17669
4,0,17669
4,0,17459
4,0,17529
4,0,17529
4,0,17459
4,0,17320
4,0,17460
4,0,17390
4,0,17460
4,0,17529
4,0,17599
4,0,17669
4,0,17459
4,0,17599
4,0,17320
4,0,17599
4,0,17460
4,0,17879
4,1,25281
4,1,24723
4,1,24373
4,1,24304
4,1,24512
4,1,24373
4,1,24304
4,1,24304
4,1,24303
4,1,24513
4,1,24583
4,1,24164
4,1,24443
4,1,24164
4,1,24164
4,1,23815
4,1,24373
4,1,23954
4,1,24233
4,1,24164
4,1,24443
4,1,24303
4,1,24233
4,1,24094
4,1,24234
4,1,24024
4,1,24304
4,1,24024
4,1,23954
4,1,24094
4,1,24024
4,1,34919
4,1,22278
4,1,22697
4,1,22627
4,1,22209
4,1,22697
4,1,22767
4,1,22209
4,1,22348
4,1,22138
4,1,22208
4,1,22068
4,1,22139
4,1,22138
4,1,22069
4,1,22767
4,1,22697
4,1,22068
4,1,22627
4,1,22767
4,1,22348
4,1,22488
4,1,22418
4,1,22767
4,1,22558
4,1,22278
4,1,22278
4,1,22068
4,1,21999
4,1,22767
4,1,22278
4,1,22837
4,1,22348
4,1,22278
4,1,22628
4,1,22487
4,1,22138
4,1,22767
4,1,21999
4,1,22767
4,1,22837
4,1,22836
4,1,22836
4,1,22069
4,1,22278
4,1,22698
4,1,22767
4,1,22557
4,1,22348
4,1,22418
4,1,22347
4,1,22697
4,1,22627
4,1,22697
4,1,21998
4,1,22487
4,1,22209
4,1,22208
4,1,22208
4,1,22068
4,1,22208
4,1,22069
4,1,22208
4,1,22628
4,1,22208
4,1,22767
4,1,22278
4,1,22628
4,1,22697
4,2,24932
4,2,24024
4,2,23395
4,2,24024
4,2,23325
4,2,23186
4,2,23675
4,2,23396
4,2,24024
4,2,23745
4,2,23186
4,2,23326
4,2,23396
4,2,23395
4,2,23466
4,2,23535
4,2,23256
4,2,23535
4,2,24094
4,2,23466
4,2,23395
4,2,23256
4,2,23326
4,2,23675
4,2,23256
4,2,23745
4,2,23884
4,2,23745
4,2,23605
4,2,23186
4,2,23954
4,2,23116
4,2,23256
4,2,23744
4,2,23605
4,2,23047
4,2,23605
4,2,23325
4,2,23954
4,2,23745
4,2,23256
4,2,23466
4,2,23255
4,2,23186
4,2,24024
4,2,23256
4,2,23466
4,2,23535
4,2,23326
4,2,23885
4,2,23535
4,2,23256
4,2,23326
4,2,23815
4,2,23954
4,2,23605
4,2,23885
4,2,23186
4,2,23326
4,2,23395
4,2,23465
4,2,23395
4,2,23396
4,2,23396
4,2,23396
4,2,23395
4,2,23954
4,2,23815
4,2,23954
4,2,23256
4,2,23955
4,2,23395
4,2,23954
4,2,23954
4,2,33103
4,2,23745
4,2,23256
4,2,23674
4,2,23326
4,2,23605
4,2,23396
4,2,23256
4,2,23186
4,2,23256
4,2,22906
4,2,23396
4,2,23326
4,2,23116
4,2,23326
4,2,23465
4,2,23605
4,2,23326
4,2,24024
4,2,23605
4,2,23536
4,2,23117
4,2,23325
4,2,23186
4,2,23186
4,2,23536
4,3,29192
4,3,29123
4,3,29611
4,3,29402
4,3,28703
4,3,29122
4,3,28703
4,3,28843
4,3,28913
4,3,29053
4,3,28982
4,3,28912
4,3,28842
4,3,28912
4,3,29192
4,3,29052
4,3,28983
4,3,28703
4,3,29262
4,3,29053
4,3,28843
4,3,28703
4,3,28983
4,3,28494
4,3,28773
4,3,28424
4,3,28633
4,3,28354
4,3,28493
4,3,28493
4,3,28563
4,3,28494
4,3,28773
4,3,28843
4,3,28634
4,3,28633
4,3,28843
4,3,29192
4,3,28564
4,3,29751
4,3,28703
4,3,28703
4,3,28773
4,3,28982
4,3,28843
4,3,28494
4,3,28913
4,3,29332
4,3,29052
4,3,28843
4,3,28913
4,3,28913
4,3,29331
4,3,28842
4,3,28843
4,3,28912
4,3,28913
4,3,28773
4,3,28843
4,3,28913
4,3,29751
4,3,28913
4,3,28843
4,3,28843
4,3,28982
4,3,29122
4,3,29052
4,3,28983
4,3,28773
4,3,29122
4,3,28843
4,3,28913
4,3,29402
4,3,28913
4,3,29053
4,3,28912
4,3,28703
4,3,28773
4,3,28843
4,3,28843
4,3,29122
4,3,29052
4,3,28773
4,3,29332
4,3,28703
4,3,29053
4,3,29471
4,3,29331
4,3,28843
4,3,28913
4,3,28982
4,3,29052
4,3,28704
4,3,28633
4,3,28913
4,3,29123
4,3,35128
4,3,29262
4,3,28773
4,3,29751
4,4,35827
4,4,34290
4,4,34290
4,4,34290
4,4,34360
4,4,34290
4,4,34290
4,4,34081
4,4,34360
4,4,34221
4,4,34150
4,4,33732
4,4,34150
4,4,34221
4,4,34080
4,4,34011
4,4,34151
4,4,34639
4,4,34081
4,4,34570
4,4,34710
4,4,34779
4,4,34570
4,4,34080
4,4,34919
4,4,34011
4,4,34221
4,4,34081
4,4,34011
4,4,34011
4,4,34360
4,4,34081
4,4,34011
4,4,34430
4,4,34081
4,4,34150
4,4,34360
4,4,34150
4,4,33732
4,4,34220
4,4,34151
4,4,33801
4,4,34221
4,4,34220
4,4,34849
4,4,34779
4,4,34918
4,4,34151
4,4,34011
4,4,34220
4,4,34989
4,4,34010
4,4,34150
4,4,34150
4,4,35128
4,4,34709
4,4,33941
4,4,34150
4,4,34290
4,4,34081
4,4,34150
4,4,33941
4,4,34081
4,4,33941
4,4,34010
4,4,34080
4,4,34150
4,4,34011
4,4,34010
4,4,34290
4,4,34220
4,4,33801
4,4,34011
4,4,34011
4,4,34290
4,4,34709
4,4,34011
4,4,34081
4,4,34080
4,4,34500
4,4,34360
4,4,34081
4,4,34150
4,4,34081
4,4,34499
4,4,34010
4,4,34430
4,4,34011
4,4,34011
4,4,34151
4,4,33941
4,4,33731
4,4,34430
4,4,34150
4,4,34360
4,4,34151
4,4,34150
4,4,34500
4,4,34011
4,4,52448
4,5,36875
4,5,35548
4,5,35478
4,5,35058
4,5,35058
4,5,35128
4,5,35059
4,5,35198
4,5,34709
4,5,34918
4,5,34989
4,5,34849
4,5,36525
4,5,34849
4,5,35058
4,5,36665
4,5,34779
4,5,34988
4,5,34919
4,5,35687
4,5,35966
4,5,37573
4,5,36245
4,5,36455
4,5,35966
4,5,35897
4,5,36175
4,5,38830
4,5,35477
4,5,35128
4,5,36734
4,5,35897
4,5,35896
4,5,37852
4,5,36455
4,5,35757
4,5,37363
4,5,34989
4,5,35198
4,5,36944
4,5,35198
4,5,34988
4,5,35757
4,5,35827
4,5,35826
4,5,37293
4,5,35268
4,5,35337
4,5,37502
4,5,36386
4,5,35687
4,5,37293
4,5,34989
4,5,34988
4,5,35058
4,5,35128
4,5,36106
4,5,35128
4,5,35129
4,5,34919
4,5,35268
4,5,34988
4,5,35547
4,5,35338
4,5,35199
4,5,35338
4,5,34919
4,5,34989
4,5,35128
4,5,35477
4,5,35198
4,5,35268
4,5,35268
4,5,34988
4,5,35547
4,5,35268
4,5,36664
4,5,36804
4,5,36665
4,5,35896
4,5,35897
4,5,36036
4,5,35268
4,5,35128
4,5,34849
4,5,35128
4,5,34988
4,5,36246
4,5,36315
4,5,37224
4,5,36246
4,5,35826
4,5,36176
4,5,35337
4,5,35757
4,5,34989
4,5,34919
4,5,34849
4,5,41204
4,5,36036
4,6,38830
4,6,37992
4,6,37642
4,6,37433
4,6,37363
4,6,37433
4,6,37014
4,6,37642
4,6,37573
4,6,37433
4,6,37223
4,6,37643
4,6,37573
4,6,37922
4,6,38411
4,6,37503
4,6,37502
4,6,37712
4,6,37363
4,6,37363
4,6,37643
4,6,37712
4,6,37712
4,6,37782
4,6,37642
4,6,37363
4,6,37503
4,6,37922
4,6,37572
4,6,37503
4,6,37363
4,6,37433
4,6,37363
4,6,37782
4,6,36874
4,6,37363
4,6,37921
4,6,38062
4,6,37643
4,6,37712
4,6,38620
4,6,37643
4,6,37573
4,6,37363
4,6,37852
4,6,38061
4,6,37712
4,6,37782
4,6,37573
4,6,37712
4,6,37502
4,6,37713
4,6,37503
4,6,37293
4,6,37503
4,6,37921
4,6,37503
4,6,37782
4,6,37363
4,6,38550
4,6,37014
4,6,37014
4,6,37432
4,6,37852
4,6,37922
4,6,37433
4,6,37433
4,6,37572
4,6,37224
4,6,39039
4,6,37642
4,6,37782
4,6,38061
4,6,37642
4,6,37503
4,6,37783
4,6,37643
4,6,37433
4,6,37573
4,6,37783
4,6,37852
4,6,38411
4,6,37852
4,6,37573
4,6,37642
4,6,37293
4,6,37083
4,6,37433
4,6,37502
4,6,37084
4,6,36734
4,6,36385
4,6,38061
4,6,44138
4,6,36316
4,6,37573
4,6,36525
4,6,36176
4,6,37852
4,6,36735
5,0,20323
5,0,19834
5,0,18227
5,0,17878
5,0,18088
5,0,17738
5,0,17599
5,0,17389
5,0,17180
5,0,17390
5,0,17250
5,0,17738
5,0,17110
5,0,17249
5,0,17389
5,0,17180
5,0,17180
5,0,17180
5,0,17180
5,0,17180
5,0,17250
5,0,17250
5,0,17040
5,0,17110
5,0,17459
5,0,17250
5,0,17250
5,0,17599
5,0,17250
5,0,17250
5,0,17110
5,0,17180
5,0,17110
5,0,17250
5,0,17180
5,0,17250
5,0,17460
5,0,17110
5,0,17110
5,0,17250
